x	zg
0.000586056	2
0.000976761	2
0.001367465	2
0.001758169	2
0.002148874	2
0.002539578	2
0.002930282	2
0.003320986	2
0.003711691	2
0.004102395	2
0.004493099	2
0.004883804	2
0.005274508	2
0.005665212	2
0.006055916	2
0.006446621	2
0.006837325	2
0.007228029	2
0.007618734	2
0.008009438	2
0.008400142	2
0.008790846	2
0.009181551	2
0.009572255	2
0.009962959	2
0.010353664	2
0.010744368	2
0.011135072	2
0.011525777	2
0.011916481	2
0.012307185	2
0.012697889	2
0.013088594	2
0.013479298	2
0.013870002	2
0.014260707	2
0.014651411	2
0.015042115	2
0.015432819	2
0.015823524	2
0.016214228	2
0.016604932	2
0.016995637	2
0.017386341	2
0.017777045	2
0.018167749	2
0.018558454	2
0.018949158	2
0.019339862	2
0.019730567	2
0.020121271	2
0.020511975	2
0.020902679	2
0.021293384	2
0.021684088	2
0.022074792	2
0.022465497	2
0.022856201	2
0.023246905	2
0.023637609	2
0.024028314	2
0.024419018	2
0.024809722	2
0.025200427	2
0.025591131	2
0.025981835	2
0.026372539	2
0.026763244	2
0.027153948	2
0.027544652	2
0.027935357	2
0.028326061	2
0.028716765	2
0.02910747	2
0.029498174	2
0.029888878	2
0.030279582	2
0.030670287	2
0.031060991	2
0.031451695	2
0.0318424	2
0.032233104	2
0.032623808	2
0.033014512	2
0.033405217	2
0.033795921	2
0.034186625	2
0.03457733	2
0.034968034	2
0.035358738	2
0.035749442	2
0.036140147	2
0.036530851	2
0.036921555	2
0.03731226	2
0.037702964	2
0.038093668	2
0.038484372	2
0.038875077	2
0.039265781	2
0.039656485	2
0.04004719	2
0.040437894	2
0.040828598	2
0.041219302	2
0.041610007	2
0.042000711	2
0.042391415	2
0.04278212	2
0.043172824	2
0.043563528	2
0.043954232	2
0.044344937	2
0.044735641	2
0.045126345	2
0.04551705	2
0.045907754	2
0.046298458	2
0.046689162	2
0.047079867	2
0.047470571	2
0.047861275	2
0.04825198	2
0.048642684	2
0.049033388	2
0.049424093	2
0.049814797	2
0.050205501	2
0.050596205	2
0.05098691	2
0.051377614	2
0.051768318	2
0.052159023	2
0.052549727	2
0.052940431	2
0.053331135	2
0.05372184	2
0.054112544	2
0.054503248	2
0.054893953	2
0.055284657	2
0.055675361	2
0.056066065	2
0.05645677	2
0.056847474	2
0.057238178	2
0.057628883	2
0.058019587	2
0.058410291	2
0.058800995	2
0.0591917	2
0.059582404	2
0.059973108	2
0.060363813	2
0.060754517	2
0.061145221	2
0.061535925	2
0.06192663	2
0.062317334	2
