# Frequency (Hz)	Amplitude
0.000000000000000000e+00	6.960471629416093542e+00
2.857060748533175182e-02	1.075452546957302324e+01
5.714121497066350364e-02	8.824249139631268690e+01
8.571182245599526239e-02	4.650143346383570986e+01
1.142824299413270073e-01	8.924267953120319419e+01
1.428530374266587522e-01	5.278407703234773152e+01
1.714236449119905248e-01	6.078763372878228211e+00
1.999942523973222697e-01	5.372472672750807199e+00
2.285648598826540145e-01	4.877779685009433308e+01
2.571354673679857594e-01	1.827021243036726261e+01
2.857060748533175043e-01	1.162720256440816868e+01
3.142766823386492492e-01	2.249865530294763971e+01
3.428472898239810496e-01	8.203099162154133595e+00
3.714178973093127945e-01	8.078252294282398438e+00
3.999885047946445393e-01	7.766951262280849200e+00
4.285591122799762842e-01	1.670425073182355291e+01
4.571297197653080291e-01	2.331435179714114625e+00
4.857003272506397740e-01	9.941624950721941190e+00
5.142709347359715188e-01	4.105145141193620617e+00
5.428415422213033192e-01	1.059052389571216857e+01
5.714121497066350086e-01	1.987272313318365846e+00
5.999827571919668090e-01	8.239062693091110390e+00
6.285533646772984984e-01	1.429180696778608706e+01
6.571239721626302988e-01	1.893930282291436384e+01
6.856945796479620991e-01	2.639680985481564690e+01
7.142651871332937885e-01	1.739930999881675788e+01
7.428357946186255889e-01	1.861404318873114860e+01
7.714064021039572783e-01	1.885000077992622991e+01
7.999770095892890787e-01	5.405850644823365414e+00
8.285476170746207680e-01	8.431097867405592083e+00
8.571182245599525684e-01	3.528064987575173284e+00
8.856888320452842578e-01	1.902570894445123395e+00
9.142594395306160582e-01	2.579516927377195845e+00
9.428300470159478586e-01	1.033610544244387164e+01
9.714006545012795479e-01	4.679109572787922389e+00
9.999712619866113483e-01	3.955781662460294168e+00
1.028541869471943038e+00	8.771751057199596247e+00
1.057112476957274838e+00	1.146293019617543596e+00
1.085683084442606638e+00	1.058270100410531356e+01
1.114253691927938217e+00	9.257827560877279538e+00
1.142824299413270017e+00	1.794620484852573972e+00
1.171394906898601818e+00	3.636668660307407208e+00
1.199965514383933618e+00	5.797460552062645434e+00
1.228536121869265418e+00	5.156325809973616892e+00
1.257106729354596997e+00	7.303333454704939776e+00
1.285677336839928797e+00	1.998297888695133251e+00
1.314247944325260598e+00	3.262655164035910271e+00
1.342818551810592398e+00	3.292841882283254584e+00
1.371389159295924198e+00	2.493717158423958580e+00
1.399959766781255777e+00	2.876468941276652647e+00
1.428530374266587577e+00	2.453971030328967906e+00
1.457100981751919377e+00	2.712743212083360334e+00
1.485671589237251178e+00	1.301693607520486129e+00
1.514242196722582756e+00	7.529346753774302847e+00
1.542812804207914557e+00	5.505002528637144010e+00
1.571383411693246357e+00	3.927221572711472763e+00
1.599954019178578157e+00	2.986450691491244314e+00
1.628524626663909958e+00	3.167763556153983640e+00
1.657095234149241536e+00	5.521815999864299940e+00
1.685665841634573336e+00	6.678258262017968683e+00
1.714236449119905137e+00	2.978045668272331081e+00
1.742807056605236937e+00	5.095897182735688702e+00
1.771377664090568516e+00	3.449744856026355500e+00
1.799948271575900316e+00	6.288838171975966063e+00
1.828518879061232116e+00	2.002665773615851297e+00
1.857089486546563917e+00	5.502006777860012576e+00
1.885660094031895717e+00	6.124011774854682955e+00
1.914230701517227295e+00	2.517243946428774581e+00
1.942801309002559096e+00	2.859627422635752758e+00
1.971371916487890896e+00	3.059616786260988430e+00
1.999942523973222697e+00	5.881908618308515635e+00
2.028513131458554497e+00	5.405401291911960726e+00
2.057083738943886075e+00	2.219312967131012115e+00
2.085654346429218098e+00	4.433824686392803471e+00
2.114224953914549676e+00	5.402116133849867552e+00
2.142795561399881255e+00	3.709095325013544997e+00
2.171366168885213277e+00	4.274876203333683122e+00
2.199936776370544855e+00	1.843309650712919190e+00
2.228507383855876434e+00	1.797857285797346272e-01
2.257077991341208456e+00	4.710664642229430932e+00
2.285648598826540034e+00	1.172810052409599013e+00
2.314219206311872057e+00	5.293339844979040976e+00
2.342789813797203635e+00	5.652539503495057183e+00
2.371360421282535214e+00	1.913897725431469299e+00
2.399931028767867236e+00	2.577496346617790035e+00
2.428501636253198814e+00	4.124030782253478300e+00
2.457072243738530837e+00	2.215352958046036935e+00
2.485642851223862415e+00	2.538729663538889625e+00
2.514213458709193993e+00	3.389970025715178803e+00
2.542784066194526016e+00	3.185527633873436404e+00
2.571354673679857594e+00	4.333736852904976899e+00
2.599925281165189617e+00	6.806420139267079783e-01
2.628495888650521195e+00	2.756360426983475165e+00
2.657066496135852773e+00	3.435286101733875164e+00
2.685637103621184796e+00	5.778749651458957359e+00
2.714207711106516374e+00	4.998978318140759214e+00
2.742778318591848397e+00	3.020061804053501664e+00
2.771348926077179975e+00	4.883953634663042997e+00
2.799919533562511553e+00	3.130979105294249276e+00
2.828490141047843576e+00	5.966449160729120571e+00
2.857060748533175154e+00	3.626722172077258222e+00
2.885631356018506732e+00	3.429710008933069432e+00
2.914201963503838755e+00	1.992824452313360695e+00
2.942772570989170333e+00	2.900263582822474095e+00
2.971343178474502356e+00	2.624882330145261733e+00
2.999913785959833934e+00	2.758529082772166685e+00
3.028484393445165512e+00	2.233378947097619971e+00
3.057055000930497535e+00	3.349825422678753384e+00
3.085625608415829113e+00	2.038843745835949406e+00
3.114196215901161136e+00	1.073929536447568056e+00
3.142766823386492714e+00	6.298249518744894360e+00
3.171337430871824292e+00	7.487832327611279037e-01
3.199908038357156315e+00	2.052230793130303876e+00
3.228478645842487893e+00	3.286736329578948013e+00
3.257049253327819915e+00	3.745726710777419033e+00
3.285619860813151494e+00	2.779283794248430528e+00
3.314190468298483072e+00	3.003412274218379974e+00
3.342761075783815095e+00	4.915444830761225958e+00
3.371331683269146673e+00	2.200005478617866217e+00
3.399902290754478251e+00	1.332806887915507943e+00
3.428472898239810274e+00	3.121921514631326389e+00
3.457043505725141852e+00	5.803925447038752239e+00
3.485614113210473874e+00	6.005959503433727420e+00
3.514184720695805453e+00	2.950580089672394823e+00
3.542755328181137031e+00	2.941152073995128013e+00
3.571325935666469054e+00	4.202967769254192021e+00
3.599896543151800632e+00	3.363009778333649447e+00
3.628467150637132654e+00	4.966371626145926754e+00
3.657037758122464233e+00	1.758323897060847907e+00
3.685608365607795811e+00	2.138406336110707961e+00
3.714178973093127833e+00	4.806776498027638844e+00
3.742749580578459412e+00	3.062522716486395513e+00
3.771320188063791434e+00	1.523745755796432233e+00
3.799890795549123013e+00	2.536373742022766553e+00
3.828461403034454591e+00	1.105102054781799348e+00
3.857032010519786613e+00	2.326676993971083185e+00
3.885602618005118192e+00	3.583360256318499193e+00
3.914173225490450214e+00	1.824534629139964670e+00
3.942743832975781793e+00	8.027012158138197018e-01
3.971314440461113371e+00	4.999219684520338269e+00
3.999885047946445393e+00	2.157249234884889955e+00
4.028455655431777416e+00	6.451832820267979773e-01
4.057026262917108994e+00	1.819240234979852877e+00
4.085596870402440572e+00	4.797843573429246611e+00
4.114167477887772151e+00	4.207754934368873379e+00
4.142738085373103729e+00	1.774589446544914129e+00
4.171308692858436196e+00	1.223451974368544359e+00
4.199879300343767774e+00	3.660896647167847462e+00
4.228449907829099352e+00	1.506913825031630516e+00
4.257020515314430931e+00	1.497860428099697883e+00
4.285591122799762509e+00	1.986118789179561084e+00
4.314161730285094087e+00	1.370526636488758498e+00
4.342732337770426554e+00	3.068573112968692840e+00
4.371302945255758132e+00	3.507281402898515754e+00
4.399873552741089711e+00	5.436401663007389695e-01
4.428444160226421289e+00	2.258788348451489902e+00
4.457014767711752867e+00	1.291220425878629285e+00
4.485585375197085334e+00	2.023769282966716432e+00
4.514155982682416912e+00	1.616982283602709014e+00
4.542726590167748491e+00	3.151359943851887557e+00
4.571297197653080069e+00	2.195484601403527858e+00
4.599867805138411647e+00	1.979844946011140028e+00
4.628438412623744114e+00	1.524852601266747376e+00
4.657009020109075692e+00	1.903730446633166151e+00
4.685579627594407270e+00	6.983372050172148571e-01
4.714150235079738849e+00	1.732851510589088928e+00
4.742720842565070427e+00	1.903626983896479219e+00
4.771291450050402894e+00	3.028329400705892294e+00
4.799862057535734472e+00	1.492293585506050624e+00
4.828432665021066050e+00	7.194964683567174335e-01
4.857003272506397629e+00	1.268569087381496319e+00
4.885573879991729207e+00	1.341032780596716156e+00
4.914144487477061674e+00	2.314854818788239399e+00
4.942715094962393252e+00	1.596120601229595204e+00
4.971285702447724830e+00	1.350352123451657560e+00
4.999856309933056409e+00	2.114813828013900887e-01
5.028426917418387987e+00	5.593603902550980944e-01
5.056997524903720453e+00	2.348152374631691686e+00
5.085568132389052032e+00	2.981958906552141908e+00
5.114138739874383610e+00	6.468217870729808805e-01
5.142709347359715188e+00	3.331172142263556069e+00
5.171279954845046767e+00	1.077587497564705066e+00
