# Frequency (Hz)	Amplitude
0.000000000000000000e+00	5.376734478124161143e+01
2.666669722225722960e-02	5.510185000124609189e+01
5.333339444451445921e-02	7.763745551568958092e+01
8.000009166677168881e-02	2.231697707553439969e+01
1.066667888890289184e-01	9.866038079462915888e+00
1.333334861112861480e-01	6.159316434116394845e+00
1.600001833335433776e-01	3.466806066565439881e+00
1.866668805558006072e-01	2.946046198088160040e+00
2.133335777780578368e-01	2.132784377551686372e+00
2.400002750003150664e-01	1.750669520569511750e+00
2.666669722225722960e-01	1.503759027726546460e+00
2.933336694448295257e-01	1.070968791031277068e+00
3.200003666670867553e-01	9.992729015402758153e-01
3.466670638893439849e-01	8.622176005249650999e-01
3.733337611116012145e-01	8.147434590668165555e-01
4.000004583338584441e-01	7.653500820208903876e-01
4.266671555561156737e-01	6.264178961578517058e-01
4.533338527783729033e-01	5.205941330005064982e-01
4.800005500006301329e-01	5.482716337636607262e-01
5.066672472228873625e-01	3.805734988809972297e-01
5.333339444451445921e-01	4.558191385810854146e-01
5.600006416674018217e-01	4.550556786715204138e-01
5.866673388896590513e-01	3.963927214541081989e-01
6.133340361119162809e-01	3.557845295489848181e-01
6.400007333341735105e-01	3.725544333519849594e-01
6.666674305564307401e-01	2.957909419230169146e-01
6.933341277786879697e-01	3.079440467050743591e-01
7.200008250009451993e-01	2.836811505897569585e-01
7.466675222232024289e-01	2.994039296874001499e-01
7.733342194454596585e-01	2.913601290850107994e-01
8.000009166677168881e-01	2.651652500839838944e-01
8.266676138899741177e-01	2.489365313898140308e-01
8.533343111122313474e-01	2.173152773878754551e-01
8.800010083344885770e-01	2.383888730695837843e-01
9.066677055567458066e-01	2.249442474625683863e-01
9.333344027790030362e-01	2.002919986441853428e-01
9.600011000012602658e-01	2.142203563150161805e-01
9.866677972235174954e-01	2.972925979464431379e-01
1.013334494445774725e+00	2.701686551677078829e-01
1.040001191668031844e+00	1.265096321825130987e-01
1.066667888890289184e+00	2.102250418608015703e-01
1.093334586112546525e+00	1.751910559782441368e-01
1.120001283334803643e+00	2.043921801161579233e-01
1.146667980557060762e+00	1.013888367146423830e-01
1.173334677779318103e+00	1.173186968105183331e-01
1.200001375001575443e+00	1.505217299536461550e-01
1.226668072223832562e+00	1.536759035143329954e-01
1.253334769446089680e+00	1.344156492053223684e-01
1.280001466668347021e+00	1.631174997703647156e-01
1.306668163890604362e+00	1.548837691956502782e-01
1.333334861112861480e+00	1.704230333966333666e-01
1.360001558335118599e+00	1.386098782812711094e-01
1.386668255557375939e+00	1.339603243837107771e-01
1.413334952779633280e+00	1.612768644552085295e-01
1.440001650001890399e+00	1.282678023567628001e-01
1.466668347224147517e+00	1.004426536672669845e-01
1.493335044446404858e+00	1.391198669553574407e-01
1.520001741668662198e+00	1.199786827416024770e-01
1.546668438890919317e+00	1.280606345494912368e-01
1.573335136113176436e+00	1.274702994243009646e-01
1.600001833335433776e+00	1.133581107597954468e-01
1.626668530557691117e+00	9.764384206740960026e-02
1.653335227779948235e+00	1.198254194114012489e-01
1.680001925002205354e+00	1.068676657069334290e-01
1.706668622224462695e+00	1.188153833390393488e-01
1.733335319446720035e+00	1.352535377053732113e-01
1.760002016668977154e+00	1.135648668047726378e-01
1.786668713891234272e+00	8.022875486937340594e-02
1.813335411113491613e+00	1.145388881394574510e-01
1.840002108335748954e+00	6.962556432048777610e-02
1.866668805558006072e+00	7.093904390170918672e-02
1.893335502780263191e+00	1.064238150323522786e-01
1.920002200002520532e+00	1.149725037249351156e-01
1.946668897224777872e+00	1.072605638999795663e-01
1.973335594447034991e+00	1.091953297000590184e-01
2.000002291669292109e+00	1.603420303270180758e-01
2.026668988891549450e+00	1.055038634842020429e-01
2.053335686113806791e+00	1.189823312867241689e-01
2.080002383336063687e+00	8.695873169074082309e-02
2.106669080558321028e+00	7.900531964956859776e-02
2.133335777780578368e+00	7.306824111119555876e-02
2.160002475002835709e+00	8.432321130235403972e-02
2.186669172225093050e+00	8.231636883556131545e-02
2.213335869447349946e+00	7.834472338339795727e-02
2.240002566669607287e+00	8.683373049284841272e-02
2.266669263891864627e+00	8.694154664728871718e-02
2.293335961114121524e+00	8.009458168554715873e-02
2.320002658336378865e+00	7.732730115266121806e-02
2.346669355558636205e+00	9.513172729215428614e-02
2.373336052780893546e+00	8.749077011684423810e-02
2.400002750003150886e+00	7.514973626421038444e-02
2.426669447225407783e+00	6.367908929168436538e-02
2.453336144447665124e+00	6.946465126517484268e-02
2.480002841669922464e+00	6.803288148611780217e-02
2.506669538892179361e+00	7.832489808092917005e-02
2.533336236114436701e+00	7.198641626724165687e-02
2.560002933336694042e+00	7.463861891639089752e-02
2.586669630558951383e+00	7.752174731939215357e-02
2.613336327781208723e+00	7.421491428021553816e-02
2.640003025003465620e+00	9.176275562796996910e-02
2.666669722225722960e+00	6.995243885957176666e-02
2.693336419447980301e+00	1.977272830961988859e-02
2.720003116670237198e+00	1.006458892940271521e-01
2.746669813892494538e+00	6.210705560077900422e-02
2.773336511114751879e+00	8.562738613837533874e-02
2.800003208337009220e+00	5.218664188717841296e-02
2.826669905559266560e+00	6.758731436170827001e-02
2.853336602781523457e+00	6.659862866200760845e-02
2.880003300003780797e+00	6.820380009158819035e-02
2.906669997226038138e+00	6.662810219621344288e-02
2.933336694448295034e+00	6.888723596261780990e-02
2.960003391670552375e+00	6.663522472443797473e-02
2.986670088892809716e+00	6.992540003170560903e-02
3.013336786115067056e+00	6.362276009749259775e-02
3.040003483337324397e+00	5.909591975315047624e-02
3.066670180559581294e+00	6.126952621313959402e-02
3.093336877781838634e+00	6.032136472171446828e-02
3.120003575004095975e+00	5.878668010516138742e-02
3.146670272226352871e+00	6.131127782179530278e-02
3.173336969448610212e+00	4.789832906167219850e-02
3.200003666670867553e+00	6.229059961122557221e-02
3.226670363893124893e+00	5.219867123994195723e-02
3.253337061115382234e+00	4.894522124261679180e-02
3.280003758337639130e+00	6.134823911117049527e-02
3.306670455559896471e+00	4.632777640294451910e-02
3.333337152782153812e+00	5.559739832908822815e-02
3.360003850004410708e+00	5.074258421288275339e-02
3.386670547226668049e+00	5.089069069952981833e-02
3.413337244448925389e+00	5.666160639513618397e-02
3.440003941671182730e+00	4.876886539522255065e-02
3.466670638893440071e+00	5.736970936381444869e-02
3.493337336115696967e+00	5.076746927056184633e-02
3.520004033337954308e+00	4.813607239417296707e-02
3.546670730560211648e+00	5.542572560047642066e-02
3.573337427782468545e+00	5.226090609522820313e-02
3.600004125004725886e+00	5.368996483095975214e-02
3.626670822226983226e+00	4.996799933267578181e-02
3.653337519449240567e+00	5.362281241510104962e-02
3.680004216671497907e+00	5.087227949320693304e-02
3.706670913893754804e+00	4.524279945307058820e-02
3.733337611116012145e+00	5.103205429994631809e-02
3.760004308338269485e+00	4.282597625218558662e-02
3.786671005560526382e+00	5.356707666406430868e-02
3.813337702782783722e+00	5.479521714608377725e-02
3.840004400005041063e+00	4.450530407493181323e-02
3.866671097227298404e+00	5.054113320383957220e-02
3.893337794449555744e+00	4.613771088890495503e-02
3.920004491671812641e+00	4.532487883930675504e-02
3.946671188894069982e+00	4.560773851174042964e-02
3.973337886116327322e+00	4.279641537652847244e-02
4.000004583338584219e+00	3.612345677892530443e-02
4.026671280560841559e+00	4.704569743598318449e-02
4.053337977783098900e+00	4.057535532635179326e-02
4.080004675005356241e+00	3.978335938560192964e-02
4.106671372227613581e+00	3.786973308016594597e-02
4.133338069449870922e+00	3.974371878817375275e-02
4.160004766672127374e+00	4.203302470331220231e-02
4.186671463894384715e+00	4.785926886181280510e-02
4.213338161116642056e+00	4.076993667428090856e-02
4.240004858338899396e+00	4.019029533589775494e-02
4.266671555561156737e+00	4.353701543154856607e-02
4.293338252783414077e+00	4.191159553534871268e-02
4.320004950005671418e+00	4.684761207506274450e-02
4.346671647227928759e+00	3.440124195361114745e-02
4.373338344450186099e+00	5.214238165946635806e-02
4.400005041672442552e+00	4.343264054335099073e-02
4.426671738894699892e+00	4.233744293288964344e-02
4.453338436116957233e+00	3.744269222484155474e-02
4.480005133339214574e+00	4.280721169386187547e-02
4.506671830561471914e+00	4.102762190576823148e-02
4.533338527783729255e+00	5.322113406622785287e-02
4.560005225005986595e+00	4.311849440063480338e-02
4.586671922228243048e+00	4.417333674859993259e-02
4.613338619450500389e+00	4.294973177772354322e-02
4.640005316672757729e+00	3.227163877887027910e-02
4.666672013895015070e+00	4.885381440104873824e-02
4.693338711117272410e+00	3.610417948714021025e-02
4.720005408339529751e+00	5.751111206265129699e-02
4.746672105561787092e+00	4.704714198110218626e-02
4.773338802784044432e+00	2.792035876701847580e-02
4.800005500006301773e+00	5.941283201418154358e-02
4.826672197228558225e+00	4.485834265129289011e-02
4.853338894450815566e+00	3.886165895258962555e-02
4.880005591673072907e+00	3.306293622330407772e-02
4.906672288895330247e+00	4.063622062206579538e-02
4.933338986117587588e+00	3.487813492955155192e-02
4.960005683339844929e+00	4.981971999250876804e-02
4.986672380562102269e+00	3.786617469382740769e-02
5.013339077784358722e+00	4.820602568156387435e-02
5.040005775006616062e+00	3.756708346147041855e-02
5.066672472228873403e+00	2.441788092198585863e-02
5.093339169451130743e+00	3.744457114372186368e-02
5.120005866673388084e+00	1.915093115011068728e-02
5.146672563895645425e+00	2.988443012156783221e-02
5.173339261117902765e+00	3.672376548051190653e-02
5.200005958340160106e+00	4.219878445190416993e-02
5.226672655562417447e+00	3.378563573365386125e-02
5.253339352784673899e+00	3.252589119874456369e-02
5.280006050006931240e+00	2.816990288472631318e-02
5.306672747229188580e+00	3.291938842116085007e-02
5.333339444451445921e+00	3.033597141385761461e-02
5.360006141673703262e+00	3.676494977642128653e-02
5.386672838895960602e+00	3.807583831514536193e-02
5.413339536118217943e+00	2.581104600424407799e-02
5.440006233340474395e+00	3.129679481547567588e-02
5.466672930562731736e+00	3.021852847613729076e-02
5.493339627784989077e+00	3.336739632471999450e-02
5.520006325007246417e+00	3.045488293196937230e-02
5.546673022229503758e+00	2.755655548575074859e-02
5.573339719451761098e+00	3.156945948880714864e-02
5.600006416674018439e+00	3.338738541396153725e-02
5.626673113896275780e+00	2.871419540392735129e-02
5.653339811118533120e+00	3.196269324705266340e-02
5.680006508340789573e+00	2.996745779975779761e-02
5.706673205563046913e+00	2.965351721298693788e-02
5.733339902785304254e+00	3.245937991034315157e-02
5.760006600007561595e+00	2.840647313298125601e-02
5.786673297229818935e+00	3.166202581650822551e-02
5.813339994452076276e+00	3.115260825318185919e-02
5.840006691674333617e+00	2.558882026447184196e-02
