x	zg centrado y sin panza
0.000586929	0.250491835
0.000978216	0.09804786
0.001369502	-0.075704964
0.001760789	-0.1481762
0.002152076	-0.156339167
0.002543363	-0.007845786
0.00293465	0.049094434
0.003325937	0.065824354
0.003717224	0.069516633
0.00410851	0.244355149
0.004499797	0.284734266
0.004891084	0.23323963
0.005282371	0.278846596
0.005673658	0.361322228
0.006064945	0.447574819
0.006456232	0.237136904
0.006847519	0.062494871
0.007238805	0.216264957
0.007630092	0.303561426
0.008021379	0.301644497
0.008412666	-0.109145731
0.008803953	-0.122134395
0.00919524	0.113478825
0.009586527	0.492100014
0.009977813	0.584717133
0.0103691	0.427985768
0.010760387	0.276793016
0.011151674	0.262562519
0.011542961	0.382546199
0.011934248	0.3928385
0.012325535	0.285853534
0.012716822	0.334987216
0.013108108	0.322383372
0.013499395	0.072014124
0.013890682	-0.220341086
0.014281969	-0.194705909
0.014673256	-0.317326411
0.015064543	-0.739263432
0.01545583	-0.777098598
0.015847116	-0.436568362
0.016238403	-0.36040221
0.01662969	-0.056253985
0.017020977	-0.103022963
0.017412264	-0.05329402
0.017803551	-0.324120738
0.018194838	-0.436017221
0.018586125	-0.29053481
0.018977411	0.289715871
0.019368698	0.386928403
0.019759985	0.292987315
0.020151272	0.24719362
0.020542559	0.287852247
0.020933846	0.359228113
0.021325133	0.319140462
0.021716419	0.259364033
0.022107706	0.17739459
0.022498993	0.145372352
0.02289028	0.097751626
0.023281567	-0.367492075
0.023672854	-0.564479743
0.024064141	-0.513118429
0.024455428	-0.448946738
0.024846714	-0.22008388
0.025238001	-0.146105816
0.025629288	-0.117986924
0.026020575	-0.273021025
0.026411862	-0.401896776
0.026803149	-0.412157212
0.027194436	-0.42246049
0.027585722	-0.669213283
0.027977009	-0.601597659
0.028368296	-0.267953808
0.028759583	-0.095438381
0.02915087	0.072755146
0.029542157	-0.013857858
0.029933444	-0.043807083
0.030324731	0.038498911
0.030716017	0.063499543
0.031107304	0.035811499
0.031498591	-0.138560327
0.031889878	-0.287102595
0.032281165	-0.274801419
0.032672452	-0.249021407
0.033063739	-0.23263886
0.033455025	-0.48007269
0.033846312	-0.463198339
0.034237599	-0.49941713
0.034628886	-0.472523051
0.035020173	-0.51183097
0.03541146	-0.527545494
0.035802747	-0.332395618
0.036194034	-0.272325125
0.03658532	-0.206859365
