X(mm)	Z(mm)
1.097559639999999975e-01	-1.698545583527100611e+00
1.101472510000000016e-01	-1.703596932191967506e+00
1.105385380000000056e-01	-1.708712671290074425e+00
1.109298249999999958e-01	-1.713883798049999907e+00
1.113211119999999998e-01	-1.719100789033345622e+00
1.117123990000000039e-01	-1.724353643212183762e+00
1.121036859999999941e-01	-1.729631926666826747e+00
1.124949729999999981e-01	-1.734924818644409727e+00
1.128862590000000027e-01	-1.740221158710676175e+00
1.132775460000000067e-01	-1.745509494721217747e+00
1.136688329999999969e-01	-1.750778131334278509e+00
1.140601200000000010e-01	-1.756015178785215181e+00
1.144514070000000050e-01	-1.761208601642858307e+00
1.148426939999999952e-01	-1.766346267270484383e+00
1.152339809999999992e-01	-1.771415993718887139e+00
1.156252670000000038e-01	-1.776405596786165830e+00
1.160165539999999940e-01	-1.781302935988281488e+00
1.164078409999999980e-01	-1.786095959196157379e+00
1.167991280000000021e-01	-1.790772745709052094e+00
1.171904150000000061e-01	-1.795321547550033259e+00
1.175817019999999963e-01	-1.799730828787459824e+00
1.179729890000000003e-01	-1.803989302706230369e+00
1.183642760000000044e-01	-1.808085966673902867e+00
1.187555619999999951e-01	-1.812010134569330910e+00
1.191468489999999991e-01	-1.815751466664889735e+00
1.195381360000000032e-01	-1.819299996877394188e+00
1.199294229999999933e-01	-1.822646157327137306e+00
1.203207099999999974e-01	-1.825780800168845364e+00
1.207119970000000014e-01	-1.828695216682440394e+00
1.211032840000000055e-01	-1.831381153635052828e+00
1.214945699999999962e-01	-1.833830826948418702e+00
1.218858570000000002e-01	-1.836036932727313165e+00
1.222771440000000043e-01	-1.837992655724631108e+00
1.226684309999999944e-01	-1.839691675336818655e+00
1.230597179999999985e-01	-1.841128169239303336e+00
1.234510050000000025e-01	-1.842296814785214787e+00
1.238422920000000066e-01	-1.843192788302030705e+00
1.242335789999999968e-01	-1.843811762429987899e+00
1.246248650000000013e-01	-1.844149901653285406e+00
1.250161519999999915e-01	-1.844203856180526069e+00
1.254074390000000094e-01	-1.843970754334616879e+00
1.257987259999999996e-01	-1.843448193614682040e+00
1.261900129999999898e-01	-1.842634230593511724e+00
1.265813000000000077e-01	-1.841527369813767079e+00
1.269725869999999979e-01	-1.840126551844647684e+00
1.273638729999999886e-01	-1.838431140657962759e+00
1.277551600000000065e-01	-1.836440910478498223e+00
1.281464469999999967e-01	-1.834156032258183133e+00
1.285377339999999868e-01	-1.831577059916806638e+00
1.289290210000000048e-01	-1.828704916484019005e+00
1.293203079999999949e-01	-1.825540880268235799e+00
1.297115950000000129e-01	-1.822086571168143765e+00
1.301028820000000030e-01	-1.818343937231990948e+00
1.304941679999999937e-01	-1.814315241558904335e+00
1.308854550000000116e-01	-1.810003049625345639e+00
1.312767420000000018e-01	-1.805410217108602389e+00
1.316680289999999920e-01	-1.800539878268077709e+00
1.320593160000000099e-01	-1.795395434934294432e+00
1.324506030000000001e-01	-1.789980546145052420e+00
1.328418899999999903e-01	-1.784299118458161804e+00
1.332331760000000087e-01	-1.778355296960582699e+00
1.336244629999999989e-01	-1.772153456984588926e+00
1.340157499999999891e-01	-1.765698196532698327e+00
1.344070370000000070e-01	-1.758994329404522938e+00
1.347983239999999971e-01	-1.752046879010479952e+00
1.351896109999999873e-01	-1.744861072849528405e+00
1.355808980000000052e-01	-1.737442337620897170e+00
1.359721849999999954e-01	-1.729796294933246603e+00
1.363634710000000139e-01	-1.721928757568866430e+00
1.367547580000000040e-01	-1.713845726255285973e+00
1.371460449999999942e-01	-1.705553386891934364e+00
1.375373320000000121e-01	-1.697058108175055313e+00
1.379286190000000023e-01	-1.688366439559891852e+00
1.383199059999999925e-01	-1.679485109495231665e+00
1.387111930000000104e-01	-1.670421023861803134e+00
1.391024790000000011e-01	-1.661181264542878289e+00
1.394937659999999913e-01	-1.651773088052872041e+00
1.398850530000000092e-01	-1.642203924147876082e+00
1.402763399999999994e-01	-1.632481374341078206e+00
1.406676269999999895e-01	-1.622613210245980486e+00
1.410589140000000075e-01	-1.612607371671235468e+00
1.414502009999999976e-01	-1.602471964392677028e+00
1.418414879999999878e-01	-1.592215257530499528e+00
1.422327740000000063e-01	-1.581845680462387271e+00
1.426240609999999964e-01	-1.571371819206581755e+00
1.430153479999999866e-01	-1.560802412212417112e+00
1.434066350000000045e-01	-1.550146345499850975e+00
1.437979219999999947e-01	-1.539412647094123177e+00
1.441892090000000126e-01	-1.528610480707050190e+00
1.445804960000000028e-01	-1.517749138622698224e+00
1.449717819999999935e-01	-1.506838033752242678e+00
1.453630690000000114e-01	-1.495886690830495080e+00
1.457543560000000016e-01	-1.484904736734494968e+00
1.461456429999999918e-01	-1.473901889912280661e+00
1.465369300000000097e-01	-1.462887948917152903e+00
1.469282169999999998e-01	-1.451872780049262790e+00
1.473195039999999900e-01	-1.440866304112184304e+00
1.477107910000000079e-01	-1.429878482297429754e+00
1.481020769999999986e-01	-1.418919301214868645e+00
1.484933639999999888e-01	-1.407998757091979858e+00
1.488846510000000067e-01	-1.397126839170049539e+00
1.492759379999999969e-01	-1.386313512330977549e+00
1.496672249999999871e-01	-1.375568698994303229e+00
1.500585120000000050e-01	-1.364902260330352668e+00
1.504497989999999952e-01	-1.354323976841892430e+00
1.508410850000000136e-01	-1.343843528373197982e+00
1.512323720000000038e-01	-1.333470473611846119e+00
1.516236589999999940e-01	-1.323214229154729527e+00
1.520149460000000119e-01	-1.313084048215732880e+00
1.524062330000000021e-01	-1.303088999058204855e+00
1.527975199999999922e-01	-1.293237943240883148e+00
1.531888070000000102e-01	-1.283539513771301932e+00
1.535800940000000003e-01	-1.274002093265947710e+00
1.539713799999999910e-01	-1.264633792221442565e+00
1.543626670000000090e-01	-1.255442427505660596e+00
1.547539539999999991e-01	-1.246435501181664574e+00
1.551452409999999893e-01	-1.237620179780378082e+00
1.555365280000000072e-01	-1.229003274139657931e+00
1.559278149999999974e-01	-1.220591219927569027e+00
1.563191019999999876e-01	-1.212390058965939321e+00
1.567103880000000060e-01	-1.204405421466472115e+00
1.571016749999999962e-01	-1.196642509285720024e+00
1.574929619999999864e-01	-1.189106080297023027e+00
1.578842490000000043e-01	-1.181800433967147956e+00
1.582755359999999945e-01	-1.174729398212994491e+00
1.586668230000000124e-01	-1.167896317599591116e+00
1.590581100000000025e-01	-1.161304042925102475e+00
1.594493969999999927e-01	-1.154954922222155567e+00
1.598406830000000112e-01	-1.148850793188024966e+00
1.602319700000000013e-01	-1.142992977039601010e+00
1.606232569999999915e-01	-1.137382273773065222e+00
1.610145440000000094e-01	-1.132018958793200580e+00
1.614058309999999996e-01	-1.126902780863548781e+00
1.617971179999999898e-01	-1.122032961316444144e+00
1.621884050000000077e-01	-1.117408194451443793e+00
1.625796909999999984e-01	-1.113026649041955585e+00
1.629709779999999886e-01	-1.108885970863001669e+00
1.633622650000000065e-01	-1.104983286148086163e+00
1.637535519999999967e-01	-1.101315205880148085e+00
1.641448389999999868e-01	-1.097877830820629619e+00
1.645361260000000048e-01	-1.094666757181869565e+00
1.649274129999999949e-01	-1.091677082851329361e+00
1.653187000000000129e-01	-1.088903414081510368e+00
1.657099860000000036e-01	-1.086339872566681075e+00
1.661012729999999937e-01	-1.083980102836481274e+00
1.664925600000000117e-01	-1.081817279906906792e+00
1.668838470000000018e-01	-1.079844117140822846e+00
1.672751339999999920e-01	-1.078052874282688922e+00
1.676664210000000099e-01	-1.076435365645301845e+00
1.680577080000000001e-01	-1.074982968439774034e+00
1.684489939999999908e-01	-1.073686631253456092e+00
1.688402810000000087e-01	-1.072536882693932103e+00
1.692315679999999989e-01	-1.071523840230455882e+00
1.696228549999999891e-01	-1.070637219277131624e+00
1.700141420000000070e-01	-1.069866342574651297e+00
1.704054289999999972e-01	-1.069200149939397049e+00
1.707967159999999873e-01	-1.068627208460092959e+00
1.711880030000000052e-01	-1.068135723232803036e+00
1.715792889999999959e-01	-1.067713548734740225e+00
1.719705760000000139e-01	-1.067348200945826164e+00
1.723618630000000040e-01	-1.067026870333955380e+00
1.727531499999999942e-01	-1.066736435825169860e+00
1.731444370000000121e-01	-1.066463479883219545e+00
1.735357240000000023e-01	-1.066194304824023886e+00
1.739270109999999925e-01	-1.065914950489228907e+00
1.743182970000000109e-01	-1.065611213399282331e+00
1.747095840000000011e-01	-1.065268667500206767e+00
1.751008709999999913e-01	-1.064872686609633856e+00
1.754921580000000092e-01	-1.064408468656792506e+00
1.758834449999999994e-01	-1.063861061798269336e+00
1.762747319999999895e-01	-1.063215392476726029e+00
1.766660190000000075e-01	-1.062456295473619194e+00
1.770573059999999976e-01	-1.061568545989539869e+00
1.774485919999999883e-01	-1.060536893767200617e+00
1.778398790000000063e-01	-1.059346099252409745e+00
1.782311659999999964e-01	-1.057980971767611411e+00
1.786224529999999866e-01	-1.056426409650753850e+00
1.790137400000000045e-01	-1.054667442289449308e+00
1.794050269999999947e-01	-1.052689273956755489e+00
1.797963140000000126e-01	-1.050477329330662402e+00
1.801876010000000028e-01	-1.048017300554793252e+00
1.805788869999999935e-01	-1.045295195673292099e+00
1.809701740000000114e-01	-1.042297388248773160e+00
1.813614610000000016e-01	-1.039010667948924382e+00
1.817527479999999918e-01	-1.035422291865226496e+00
1.821440350000000097e-01	-1.031520036306520005e+00
1.825353219999999999e-01	-1.027292248791005003e+00
1.829266089999999900e-01	-1.022727899942836194e+00
1.833178950000000085e-01	-1.017816634983890856e+00
1.837091819999999986e-01	-1.012548824497674138e+00
1.841004689999999888e-01	-1.006915614130865499e+00
1.844917560000000067e-01	-1.000908972888864712e+00
1.848830429999999969e-01	-9.945217396750041239e-01
1.852743299999999871e-01	-9.877476677189888088e-01
1.856656170000000050e-01	-9.805814665387081464e-01
1.860569039999999952e-01	-9.730188410809442745e-01
1.864481900000000136e-01	-9.650565276908131818e-01
1.868394770000000038e-01	-9.566923265671024579e-01
1.872307639999999940e-01	-9.479251303710807264e-01
1.876220510000000119e-01	-9.387549486697932544e-01
1.880133380000000021e-01	-9.291829279113162920e-01
1.884046249999999922e-01	-9.192113666488099799e-01
1.887959120000000102e-01	-9.088437257524364377e-01
1.891871980000000009e-01	-8.980846333732308562e-01
1.895784849999999910e-01	-8.869398844507361268e-01
1.899697720000000090e-01	-8.754164345865412811e-01
1.903610589999999991e-01	-8.635223881386370204e-01
1.907523459999999893e-01	-8.512669804265022844e-01
1.911436330000000072e-01	-8.386605539738148929e-01
1.915349199999999974e-01	-8.257145287543674606e-01
1.919262069999999876e-01	-8.124413664468905782e-01
1.923174930000000060e-01	-7.988545287458131972e-01
1.927087799999999962e-01	-7.849684298172429076e-01
1.931000669999999864e-01	-7.707983830323356100e-01
1.934913540000000043e-01	-7.563605421534009832e-01
1.938826409999999945e-01	-7.416718371911519281e-01
1.942739280000000124e-01	-7.267499051940355947e-01
1.946652150000000026e-01	-7.116130162721289176e-01
1.950565009999999933e-01	-6.962799951982507896e-01
1.954477880000000112e-01	-6.807701389673922465e-01
1.958390750000000013e-01	-6.651031307320436348e-01
1.962303619999999915e-01	-6.492989505652345672e-01
1.966216490000000094e-01	-6.333777835348425311e-01
1.970129359999999996e-01	-6.173599256016509829e-01
1.974042229999999898e-01	-6.012656878794185866e-01
1.977955100000000077e-01	-5.851152998175447317e-01
1.981867959999999984e-01	-5.689288118854901599e-01
1.985780829999999886e-01	-5.527259983527068599e-01
1.989693700000000065e-01	-5.365262607682312890e-01
1.993606569999999967e-01	-5.203485327501494728e-01
1.997519439999999868e-01	-5.042111866967226019e-01
2.001432310000000048e-01	-4.881319430279972282e-01
2.005345179999999949e-01	-4.721277825592136712e-01
2.009258040000000134e-01	-4.562148625952855974e-01
2.013170910000000036e-01	-4.404084373190599311e-01
2.017083779999999937e-01	-4.247227830249564184e-01
2.020996650000000117e-01	-4.091711287239246375e-01
2.024909520000000018e-01	-3.937655926154712827e-01
2.028822389999999920e-01	-3.785171248879528050e-01
2.032735260000000099e-01	-3.634354572696430474e-01
2.036648130000000001e-01	-3.485290597106587285e-01
2.040560989999999908e-01	-3.338051045301284048e-01
2.044473860000000087e-01	-3.192694383145920356e-01
2.048386729999999989e-01	-3.049265618031172798e-01
2.052299599999999891e-01	-2.907796179426305194e-01
2.056212470000000070e-01	-2.768303882440456554e-01
2.060125339999999972e-01	-2.630792975163829817e-01
2.064038209999999873e-01	-2.495254270024822585e-01
2.067951070000000058e-01	-2.361665358862366226e-01
2.071863939999999960e-01	-2.229990910875505605e-01
2.075776809999999861e-01	-2.100183052075658419e-01
2.079689680000000040e-01	-1.972181824333896216e-01
2.083602549999999942e-01	-1.845915721590071223e-01
2.087515420000000121e-01	-1.721302300277477992e-01
2.091428290000000023e-01	-1.598248860520614933e-01
2.095341159999999925e-01	-1.476653194189133100e-01
2.099254020000000109e-01	-1.356404395442930844e-01
2.103166890000000011e-01	-1.237383728986112402e-01
2.107079759999999913e-01	-1.119465550864968684e-01
2.110992630000000092e-01	-1.002518276299971672e-01
2.114905499999999994e-01	-8.864053887355899386e-02
2.118818369999999895e-01	-7.709864840255183094e-02
2.122731240000000075e-01	-6.561183434455636343e-02
2.126644099999999982e-01	-5.416560290430757346e-02
2.130556969999999883e-01	-4.274539946919461014e-02
2.134469840000000063e-01	-3.133672061271747938e-02
2.138382709999999964e-01	-1.992522631836089742e-02
2.142295579999999866e-01	-8.496851745946670462e-03
2.146208450000000045e-01	2.962082133438272147e-03
2.150121319999999947e-01	1.446475969952951135e-02
2.154034190000000126e-01	2.602376429517656853e-02
2.157947050000000033e-01	3.765097492573293847e-02
2.161859919999999935e-01	4.935746666247855380e-02
2.165772790000000114e-01	6.115341534361801168e-02
2.169685660000000016e-01	7.304800713982292915e-02
2.173598529999999918e-01	8.504935352177489527e-02
2.177511400000000097e-01	9.716441213496988805e-02
2.181424269999999999e-01	1.093989140524233294e-01
2.185337129999999906e-01	1.217572978391302796e-01
2.189250000000000085e-01	1.342426508234593197e-01
2.193162869999999987e-01	1.468566579303680064e-01
