x	zg sin panza y centrada
0.000586056	-0.114111904
0.000976761	-0.072947999
0.001367465	-0.150283358
0.001758169	-0.155799221
0.002148874	-0.124226233
0.002539578	-0.025978094
0.002930282	-0.026225906
0.003320986	-0.09475803
0.003711691	-0.099478516
0.004102395	0.185336935
0.004493099	0.224522373
0.004883804	0.414160974
0.005274508	0.371382987
0.005665212	0.380979687
0.006055916	0.222770627
0.006446621	0.109144853
0.006837325	0.11372678
0.007228029	0.263086325
0.007618734	0.220562899
0.008009438	-0.023827668
0.008400142	0.012972633
0.008790846	0.002879934
0.009181551	0.117529681
0.009572255	0.24006731
0.009962959	0.224932136
0.010353664	0.179292945
0.010744368	0.149247736
0.011135072	0.471907906
0.011525777	0.436244622
0.011916481	0.35826976
0.012307185	0.075539004
0.012697889	-0.01265434
0.013088594	0.044222733
0.013479298	0.049162972
0.013870002	0.019041959
0.014260707	0.023161608
0.014651411	-0.08627119
0.015042115	-0.461990339
0.015432819	-0.432695834
0.015823524	-0.506507602
0.016214228	-0.465348692
0.016604932	-0.055209393
0.016995637	0.015992535
0.017386341	-0.156510051
0.017777045	-0.149339825
0.018167749	-0.141262436
0.018558454	-0.073008994
0.018949158	-0.013778196
0.019339862	0.010248247
0.019730567	-0.016787771
0.020121271	-0.011087854
0.020511975	-0.055217693
0.020902679	-0.068381456
0.021293384	-0.115831144
0.021684088	-0.086092693
0.022074792	-0.113726631
0.022465497	-0.423702559
0.022856201	-0.483855051
0.023246905	-0.769210131
0.023637609	-0.481007661
0.024028314	-0.551809181
0.024419018	-0.501744735
0.024809722	-0.392542151
0.025200427	-0.231174626
0.025591131	-0.137829841
0.025981835	-0.157501012
0.026372539	-0.253188022
0.026763244	-0.221534718
0.027153948	-0.248826758
0.027544652	-0.545950529
0.027935357	-0.599609309
0.028326061	-0.434322028
0.028716765	-0.569719317
0.02910747	-0.412199437
0.029498174	-0.295676814
0.029888878	0.018335898
0.030279582	-0.084995248
0.030670287	-0.290264774
0.031060991	-0.521083496
0.031451695	-0.62736532
0.0318424	-0.560132463
0.032233104	-0.569142352
0.032623808	-0.635192906
0.033014512	-0.922247288
0.033405217	-0.85291162
0.033795921	-0.743311452
0.034186625	-0.760434839
0.03457733	-0.804357454
0.034968034	-0.44051695
0.035358738	-0.444202789
0.035749442	-0.352464295
0.036140147	-0.408647478
0.036530851	-0.371539058
0.036921555	-0.457462826
0.03731226	-0.729382336
0.037702964	-0.846573493
0.038093668	-0.800678116
0.038484372	-0.635452171
0.038875077	-0.511612473
0.039265781	-0.281865575
0.039656485	-0.255659615
0.04004719	-0.464760935
0.040437894	-0.631730388
0.040828598	-0.568037845
0.041219302	-0.418976674
0.041610007	-0.332865415
0.042000711	-0.294608039
0.042391415	-0.068905055
0.04278212	-0.045955116
0.043172824	-0.275656692
0.043563528	-0.42881325
0.043954232	-0.515454997
0.044344937	-0.486416491
0.044735641	-0.479073864
0.045126345	-0.460261186
0.04551705	-0.406034655
0.045907754	-0.320535637
0.046298458	-0.189801999
0.046689162	-0.351768117
0.047079867	-0.451078203
0.047470571	-0.94269637
0.047861275	-0.968078999
0.04825198	-0.8996885
0.048642684	-0.744449706
0.049033388	-0.705204377
0.049424093	-1.216508863
0.049814797	-1.510766601
0.050205501	-1.554380796
0.050596205	-0.958665079
0.05098691	-0.731978313
0.051377614	-0.556078733
0.051768318	-0.393939399
0.052159023	-0.357014162
0.052549727	-0.463525036
0.052940431	-0.677681387
0.053331135	-0.559185137
0.05372184	-0.24498771
0.054112544	-0.253631686
0.054503248	-0.294684555
0.054893953	-0.293411887
0.055284657	-0.240735448
0.055675361	-0.37846058
0.056066065	-0.384032629
0.05645677	-0.34271195
0.056847474	-0.642399655
0.057238178	-0.671284441
0.057628883	-0.749929259
0.058019587	-0.863083786
0.058410291	-1.069236639
0.058800995	-0.932793538
0.0591917	-0.811846635
0.059582404	-0.709462068
0.059973108	-0.430502544
0.060363813	-0.387107543
0.060754517	-0.578045108
0.061145221	-0.779769938
0.061535925	-0.713258456
0.06192663	-0.819209242
0.062317334	-0.808990066
0.062708038	-0.831115554
0.063098743	-0.677920121
0.063489447	-0.646647761
0.063880151	-0.743585475
0.064270855	-0.815339812
0.06466156	-0.73945567
0.065052264	-0.339988468
0.065442968	-0.348786678
0.065833673	-0.512356057
0.066224377	-0.779257885
0.066615081	-0.768789688
0.067005786	-0.829100189
0.06739649	-0.853891819
0.067787194	-0.760330743
0.068177898	-0.675890919
0.068568603	-0.728303144
0.068959307	-0.833656444
0.069350011	-0.766677233
0.069740716	-0.733770653
0.07013142	-0.789592031
0.070522124	-0.871886826
0.070912828	-0.901593471
0.071303533	-1.255449294
0.071694237	-1.351295826
0.072084941	-1.324051299
0.072475646	-1.057341788
0.07286635	-0.966069573
