# Frequency (Hz)	Transfer Amplitude
0.000000000000000000e+00	2.537177011310985941e-01
3.389835221566449286e-02	3.331766103765741449e-01
6.779670443132898572e-02	2.993226635870088748e-02
1.016950566469934786e-01	4.136226960936907615e-02
1.355934088626579714e-01	3.273297566891245763e-02
1.694917610783224782e-01	5.464360293943533176e-01
2.033901132939869572e-01	2.619139612635763004e-01
2.372884655096514361e-01	5.614277280048165369e-02
2.711868177253159429e-01	1.932375043407530135e-01
3.050851699409804496e-01	6.644920553592113810e-02
3.389835221566449563e-01	5.008538295951751873e-02
3.728818743723094076e-01	1.760575759349821134e-01
4.067802265879739143e-01	5.837381343494468106e-02
4.406785788036384210e-01	5.636714981254575818e-02
4.745769310193028723e-01	4.694103257356213588e-02
5.084752832349673790e-01	4.621022095100149052e-01
5.423736354506318857e-01	7.697294231191925684e-02
5.762719876662963925e-01	3.728982865729102425e-02
6.101703398819608992e-01	2.224009196340509878e-02
6.440686920976254060e-01	7.778952145840624111e-01
6.779670443132899127e-01	7.350121646264225206e-02
7.118653965289543084e-01	1.100940999473502269e-01
7.457637487446188151e-01	3.880789204180273150e-02
7.796621009602833219e-01	6.977006188996014158e-02
8.135604531759478286e-01	1.014922099191462590e-01
8.474588053916123354e-01	5.102902156108236886e-02
8.813571576072768421e-01	4.224572186684913411e-01
9.152555098229413488e-01	1.314588329920534371e-01
9.491538620386057445e-01	5.590617806038728627e-02
9.830522142542702513e-01	4.232272566805051622e-02
1.016950566469934758e+00	6.604305488418188430e-02
1.050848918685599376e+00	3.632503205455150930e-02
1.084747270901263771e+00	3.715046780331207610e-02
1.118645623116928167e+00	3.739785923910311088e-02
1.152543975332592785e+00	1.039978958280846077e-01
1.186442327548257181e+00	1.590586477356697725e-01
1.220340679763921798e+00	5.618848825457467555e-02
1.254239031979586194e+00	7.926486881472318002e-02
1.288137384195250812e+00	5.326215034652011932e-02
1.322035736410915208e+00	3.748562023394678283e-02
1.355934088626579825e+00	1.766538480979407133e-02
1.389832440842244221e+00	2.321754005522080541e-02
1.423730793057908617e+00	3.682316848995240144e-02
1.457629145273573235e+00	5.157750837415944756e-02
1.491527497489237630e+00	6.455970747205194704e-02
1.525425849704902248e+00	3.489021964021397915e-02
1.559324201920566644e+00	4.359117380307490908e-02
1.593222554136231262e+00	6.804889571739450305e-02
1.627120906351895657e+00	3.533579238566882802e-02
1.661019258567560053e+00	9.011130477817480902e-03
1.694917610783224671e+00	5.811881006319056381e-02
1.728815962998889066e+00	3.541830237304247758e-02
1.762714315214553684e+00	2.159069154297873702e-02
1.796612667430218080e+00	1.725163356039099288e-02
1.830511019645882698e+00	7.217990835594303468e-03
1.864409371861547093e+00	3.461647080649837057e-03
1.898307724077211489e+00	1.148689880617709096e-02
1.932206076292876107e+00	1.075558988780350028e-02
1.966104428508540503e+00	2.060275117279567955e-02
2.000002780724205120e+00	1.718332077292324817e-02
2.033901132939869516e+00	3.280771281118050053e-02
2.067799485155533912e+00	1.388575069326144704e-02
2.101697837371198752e+00	9.797284603799975150e-03
2.135596189586863147e+00	7.001583040800811453e-02
2.169494541802527543e+00	9.542434417572657687e-03
2.203392894018191939e+00	1.939155179760339645e-02
2.237291246233856334e+00	1.481938074874861698e-02
2.271189598449521174e+00	5.586801167910632193e-02
2.305087950665185570e+00	3.095496419271354105e-02
2.338986302880849966e+00	4.174378101648051204e-02
2.372884655096514361e+00	3.530841864761131293e-02
2.406783007312179201e+00	3.966030608618775072e-02
2.440681359527843597e+00	2.233553817396538577e-02
2.474579711743507993e+00	1.396169775967686863e-02
2.508478063959172388e+00	1.972606119351765289e-02
2.542376416174836784e+00	1.394859812995929461e-02
2.576274768390501624e+00	2.544406736562455917e-02
2.610173120606166020e+00	2.187352022485464578e-02
2.644071472821830415e+00	2.174088203210805884e-02
2.677969825037494811e+00	8.617455719460813401e-03
2.711868177253159651e+00	1.299383884686204811e-02
2.745766529468824046e+00	2.684330158634590235e-02
2.779664881684488442e+00	1.598188829674063519e-02
2.813563233900152838e+00	1.656308247038720816e-02
2.847461586115817234e+00	2.618302389379542974e-02
2.881359938331482073e+00	3.302269897943632682e-02
2.915258290547146469e+00	1.149801485741252551e-02
2.949156642762810865e+00	6.356612392942638697e-03
2.983054994978475261e+00	4.356062250666725699e-02
