x	zg centrada sin panza
0.001559085	0.168492544
0.002598475	0.34281235
0.003637865	0.334809567
0.004677255	0.156515472
0.005716645	0.168557715
0.006756035	0.201102989
0.007795424	0.057090061
0.008834814	0.514960851
0.009874204	0.639569445
0.010913594	0.780716996
0.011952984	1.193232633
0.012992374	1.292738784
0.014031764	1.364444411
0.015071154	1.239814445
0.016110544	1.137095734
0.017149934	1.483371671
0.018189324	1.932596144
0.019228714	1.899090943
0.020268104	1.855431995
0.021307494	1.821227484
0.022346883	1.967976015
0.023386273	2.304195466
0.024425663	2.297611576
0.025465053	2.677284048
0.026504443	2.897634754
0.027543833	2.961186929
0.028583223	3.290771496
0.029622613	3.040677613
0.030662003	3.009681574
0.031701393	3.119395552
0.032740783	3.174922095
0.033780173	3.370161065
0.034819563	3.696316912
0.035858952	3.687236106
0.036898342	4.122429558
0.037937732	4.183405456
0.038977122	4.480454565
0.040016512	4.592205374
0.041055902	4.683765018
0.042095292	4.364290491
0.043134682	4.680231133
0.044174072	4.662021122
0.045213462	4.871456323
0.046252852	4.967831531
0.047292242	5.139439893
0.048331632	5.447573923
0.049371022	5.501172234
0.050410411	5.558235886
0.051449801	5.677076115
0.052489191	5.767746019
0.053528581	5.870765083
0.054567971	5.851690129
0.055607361	6.034983393
0.056646751	6.174560479
0.057686141	6.132658078
0.058725531	6.437691044
0.059764921	6.489130948
0.060804311	6.662984013
0.061843701	6.934180184
0.062883091	7.050597632
0.063922481	7.149803691
0.06496187	7.272988571
0.06600126	7.186790695
0.06704065	7.108740075
0.06808004	7.180450527
0.06911943	7.227943004
0.07015882	7.403015193
0.07119821	7.628370213
0.0722376	7.758221375
0.07327699	7.780043522
0.07431638	7.831160064
0.07535577	7.830437889
0.07639516	7.91943259
0.07743455	7.964498385
0.07847394	8.278741956
0.079513329	8.452870044
0.080552719	8.379668332
0.081592109	8.370851974
0.082631499	8.515286187
0.083670889	8.771593743
0.084710279	8.882326085
0.085749669	8.840327142
0.086789059	8.832512424
0.087828449	8.883511434
0.088867839	8.779100757
0.089907229	8.629492504
0.090946619	8.71216561
0.091986009	8.259056305
0.093025398	8.375988103
0.094064788	8.265693571
0.095104178	7.643113397
0.096143568	7.668835543
0.097182958	7.473277774
0.098222348	7.236082318
0.099261738	7.337785535
0.100301128	6.604183864
0.101340518	6.563959499
0.102379908	6.681762412
0.103419298	6.273889465
0.104458688	6.18932256
0.105498078	6.475225114
0.106537468	6.317972969
0.107576857	6.218313861
0.108616247	5.881999306
0.109655637	6.159685003
0.110695027	6.041217601
0.111734417	5.794949293
0.112773807	5.947447495
0.113813197	6.257777836
0.114852587	6.137168641
0.115891977	6.076757029
0.116931367	5.660486026
0.117970757	5.631789491
0.119010147	5.616416917
0.120049537	5.520430723
0.121088927	5.868529002
0.122128316	5.780208961
0.123167706	5.545102061
0.124207096	5.458691047
0.125246486	5.395311591
0.126285876	5.319325117
0.127325266	5.384177592
0.128364656	5.276083016
0.129404046	5.410216007
0.130443436	4.963481229
0.131482826	4.81010552
0.132522216	4.996878327
0.133561606	4.810411259
0.134600996	4.791606863
0.135640386	4.861380417
0.136679775	4.736325897
0.137719165	4.619086689
0.138758555	4.466184129
0.139797945	4.680994354
0.140837335	4.815122856
0.141876725	4.617038553
0.142916115	4.772472196
0.143955505	4.790539219
0.144994895	4.601136347
0.146034285	4.633428814
0.147073675	4.452576388
0.148113065	4.540415409
0.149152455	4.593281383
0.150191844	4.289152413
0.151231234	4.285250644
0.152270624	4.449334925
0.153310014	4.364899897
0.154349404	4.350882973
0.155388794	4.374837464
0.156428184	4.194580707
0.157467574	4.239172838
0.158506964	4.030745316
0.159546354	4.235329419
0.160585744	4.173300237
0.161625134	4.064421665
0.162664524	4.255360618
0.163703914	4.614549707
0.164743303	4.863505324
0.165782693	5.035148645
0.166822083	4.237161071
0.167861473	4.295881701
0.168900863	4.256421981
0.169940253	4.133877801
0.170979643	4.184406318
0.172019033	4.007169811
0.173058423	3.818214664
0.174097813	3.922422835
0.175137203	3.747429914
0.176176593	3.846414977
0.177215983	3.703062489
0.178255373	3.604604954
0.179294762	3.630869485
0.180334152	3.792324333
0.181373542	3.849575541
0.182412932	3.794370711
0.183452322	3.39814385
0.184491712	3.715490194
0.185531102	3.630513468
0.186570492	3.511342466
0.187609882	3.653711532
0.188649272	3.668277606
0.189688662	3.846868341
0.190728052	3.838893878
0.191767442	3.470288318
0.192806832	3.436988553
0.193846221	3.245716481
0.194885611	3.068974225
0.195925001	3.217782309
0.196964391	2.680295043
0.198003781	2.790124071
0.199043171	2.869897615
0.200082561	3.236835382
0.201121951	3.259280364
0.202161341	3.204760261
0.203200731	2.880119829
0.204240121	2.873486796
0.205279511	2.391076834
0.206318901	2.468084767
0.20735829	2.363806694
0.20839768	2.187019093
0.20943707	2.376115999
0.21047646	2.582550231
0.21151585	2.490806169
0.21255524	2.551465369
0.21359463	2.097408344
0.21463402	2.140716832
0.21567341	1.968279012
0.2167128	1.513023262
0.21775219	1.764459668
0.21879158	1.656447501
0.21983097	1.645497734
0.22087036	1.808176405
0.221909749	1.814708896
0.222949139	1.70988838
0.223988529	1.455608546
0.225027919	1.287031921
0.226067309	1.583531206
0.227106699	1.475409683
0.228146089	1.521801887
0.229185479	1.691173378
0.230224869	1.384532181
0.231264259	1.672949199
0.232303649	1.453638732
0.233343039	1.193675241
0.234382429	1.232518859
0.235421819	1.002064401
0.236461208	1.240410807
0.237500598	1.441037228
0.238539988	1.190419057
0.239579378	1.309470079
0.240618768	1.489044376
0.241658158	1.325307434
0.242697548	1.28961853
0.243736938	1.049466529
0.244776328	0.869818156
0.245815718	0.771189536
0.246855108	1.037227952
0.247894498	1.13837217
0.248933888	1.009175823
0.249973278	0.547343355
0.251012667	0.236806208
0.252052057	0.551287184
0.253091447	0.384680045
0.254130837	0.340321021
0.255170227	-0.331505844
0.256209617	-0.205233528
0.257249007	-0.355815603
0.258288397	-0.458209158
0.259327787	-0.070721189
0.260367177	-0.732113436
0.261406567	-0.862356966
0.262445957	-0.831552222
0.263485347	-1.293779297
0.264524737	-1.575404897
0.265564126	-1.686572153
0.266603516	-1.810855493
0.267642906	-1.93576131
0.268682296	-2.023725058
0.269721686	-2.158758488
0.270761076	-2.195199824
0.271800466	-2.429235914
0.272839856	-2.49875402
0.273879246	-2.43273475
0.274918636	-2.364195327
0.275958026	-2.475696665
0.276997416	-2.561957136
0.278036806	-3.197237189
0.279076195	-3.410089323
0.280115585	-4.32195808
0.281154975	-4.100234233
0.282194365	-4.528307734
0.283233755	-4.723071216
0.284273145	-4.708663473
0.285312535	-4.719772055
0.286351925	-4.699544187
0.287391315	-4.675973846
0.288430705	-4.794890266
0.289470095	-4.64225912
0.290509485	-5.067550409
0.291548875	-5.255418742
0.292588265	-5.219996783
0.293627654	-5.173823837
0.294667044	-5.293558337
0.295706434	-5.253857481
0.296745824	-5.631165199
0.297785214	-5.711893737
0.298824604	-5.801170315
0.299863994	-5.795971643
0.300903384	-5.769033498
0.301942774	-5.689857216
0.302982164	-5.456102306
0.304021554	-5.44576548
0.305060944	-5.550146568
0.306100334	-5.306303795
0.307139724	-5.092935558
0.308179113	-4.86179419
0.309218503	-4.852826439
0.310257893	-4.580908036
0.311297283	-4.722120348
0.312336673	-4.969625645
0.313376063	-5.69564046
0.314415453	-5.517134075
0.315454843	-5.599955356
0.316494233	-5.880301612
0.317533623	-5.929930812
0.318573013	-6.717846074
0.319612403	-6.758149284
0.320651793	-6.656007905
0.321691183	-6.666509112
0.322730572	-7.176210138
0.323769962	-7.190112699
0.324809352	-7.294790053
0.325848742	-7.172227429
0.326888132	-7.510330639
0.327927522	-7.366563235
0.328966912	-7.568898951
0.330006302	-8.237490692
0.331045692	-8.401732236
0.332085082	-8.480961297
0.333124472	-8.669246668
0.334163862	-8.727406868
0.335203252	-9.368178985
0.336242641	-9.750757862
0.337282031	-9.650855367
0.338321421	-9.296099457
0.339360811	-9.383929391
0.340400201	-9.027298527
0.341439591	-8.976180227
0.342478981	-8.969038381
0.343518371	-8.339902492
0.344557761	-8.443318257
0.345597151	-8.213897339
0.346636541	-7.830670516
0.347675931	-7.98270502
0.348715321	-8.108037796
0.349754711	-8.301056887
0.3507941	-8.483140194
0.35183349	-7.367422882
0.35287288	-7.470618366
0.35391227	-7.513716047
0.35495166	-7.495202092
0.35599105	-7.431505823
0.35703044	-7.243673408
0.35806983	-7.184783392
0.35910922	-7.279631648
0.36014861	-6.768056308
0.361188	-6.91493787
0.36222739	-6.666905569
0.36326678	-6.442458792
0.36430617	-6.419532521
0.365345559	-6.730469414
0.366384949	-6.789443841
0.367424339	-6.940323053
0.368463729	-5.929371871
0.369503119	-6.07241805
0.370542509	-6.152043474
0.371581899	-6.274092954
0.372621289	-6.261934905
0.373660679	-6.138056671
0.374700069	-6.024729897
0.375739459	-6.139996759
0.376778849	-5.146905239
0.377818239	-5.069406779
0.378857629	-5.098996701
0.379897018	-5.312771769
0.380936408	-5.442934903
0.381975798	-4.976015588
0.383015188	-4.960876237
0.384054578	-5.187244651
0.385093968	-4.444218582
0.386133358	-4.292105865
0.387172748	-3.893027347
0.388212138	-3.614342663
0.389251528	-3.608950784
0.390290918	-4.156401301
0.391330308	-4.331251938
0.392369698	-4.337976684
0.393409087	-3.318795554
0.394448477	-3.479626091
0.395487867	-3.37377263
0.396527257	-3.33628879
0.397566647	-3.677336741
0.398606037	-2.949941111
0.399645427	-2.825543555
0.400684817	-2.812167438
0.401724207	-2.38102848
0.402763597	-2.194479023
0.403802987	-1.884399154
0.404842377	-1.731575039
0.405881767	-1.82455745
0.406921157	-1.665634439
0.407960546	-1.688100292
0.408999936	-1.677933573
0.410039326	-1.213723683
0.411078716	-1.354111861
0.412118106	-0.901873854
0.413157496	-0.562597199
0.414196886	-0.707480011
0.415236276	-0.495451484
0.416275666	-0.468205697
0.417315056	-0.610195007
0.418354446	-0.275049229
0.419393836	-0.62108349
0.420433226	-0.204889749
0.421472616	0.039707514
