# Amplitude Std_Amplitude
1.08709570 0.77563946
1.20726571 0.71847077
1.38524043 0.75114520
1.60102924 0.81532622
1.70494860 0.88962859
1.87131595 0.96829524
2.07422859 1.03258028
2.53230208 1.00849383
2.68711910 1.06438572
2.91012511 1.11654030
3.12758773 1.17638476
3.36615377 1.22175689
3.68532322 1.24250701
3.85205232 1.34199862
3.90261825 1.43202912
4.22297169 1.43645751
4.41789334 1.48621692
4.73995869 1.45472059
4.91201199 1.50425876
5.07921057 1.54407120
5.22584166 1.56212903
5.33516530 1.59825244
5.46621314 1.62940642
5.58387590 1.66592829
5.69708886 1.70726562
5.79179547 1.74988730
5.87530882 1.79234270
5.95737390 1.82986269
5.95556771 1.87135541
5.85705389 1.99188556
5.92492254 2.00082874
5.99735126 2.01395258
6.05408313 2.02676175
6.10510812 2.04035016
6.14826120 2.05352914
6.18714166 2.06619195
6.22027430 2.07791782
6.25503625 2.09311926
6.27365016 2.10759548
6.28485779 2.12497665
6.28645606 2.14710974
6.30955773 2.15368275
6.29476719 2.19407471
6.27176255 2.23892794
6.24775688 2.29067700
6.17059308 2.35064542
6.17262896 2.37365080
6.17553387 2.39527496
6.17406466 2.41528407
6.43488013 2.27637458
6.45222397 2.30419903
6.44737215 2.32080414
6.17805552 2.50094159
6.33679980 2.54479182
6.34095182 2.55156453
6.64085208 2.38094566
6.64852354 2.38674968
6.78320742 2.35276267
6.78896829 2.35858020
6.79486346 2.36199908
6.79292233 2.36139231
6.78627160 2.35312008
6.76744442 2.33794168
6.74508961 2.31834815
6.72736442 2.29379351
6.89267341 2.22654944
7.09628391 2.12711191
7.07982760 2.10178296
7.06713794 2.08181931
7.22295871 2.00348672
6.97466879 2.06052606
7.00897581 2.04962520
7.04025119 2.04851595
7.06874550 2.05461007
7.09776885 2.06238405
7.11729550 2.07933449
7.13323914 2.09774654
7.13445615 2.12077266
7.12476850 2.14171711
7.10852411 2.16451227
6.75616135 2.52019124
6.74466806 2.52683826
6.73994376 2.52962583
6.73206052 2.53711426
6.73565338 2.54477915
6.74312762 2.55492520
6.75350882 2.56154498
6.76513186 2.56550733
6.77633306 2.56959188
6.78294726 2.57249495
7.12657062 2.32574756
6.97339165 2.31503592
6.95339125 2.32775565
6.92737312 2.34002073
6.89900791 2.34810410
6.86821786 2.35891413
6.83770648 2.36906005
6.80861029 2.38005170
6.78840335 2.38661469
6.76669335 2.38910770
6.74861279 2.38847054
6.72283729 2.38678971
6.70348840 2.38272294
6.68638006 2.38105002
6.67560877 2.38068297
6.66336857 2.38334626
6.65434977 2.38722385
6.64788184 2.39329316
6.64101754 2.39966591
6.62981935 2.40762432
6.61534902 2.41720001
6.60560653 2.42382337
6.59633291 2.43280024
6.57627405 2.42240708
6.54342901 2.43859226
6.54050741 2.44469580
6.53841745 2.45286551
6.51239564 2.46114312
6.47605007 2.46961645
6.44529388 2.48178376
6.40876880 2.49190998
6.15167653 2.59769653
6.13595611 2.59711091
6.11648064 2.59281524
6.09574190 2.58707739
6.06716215 2.58050985
6.03582603 2.57199051
5.97458958 2.55285019
5.94247813 2.54779137
5.90963426 2.54385697
5.66413224 2.58542557
5.63125004 2.57796607
5.61131897 2.57507464
5.56954556 2.57208733
5.74748506 2.39198043
5.76374007 2.38616905
5.62506923 2.44994789
5.60025507 2.45039148
5.58322175 2.45121666
5.57508855 2.45248865
5.55572740 2.44862952
5.54930980 2.44756858
5.54412578 2.44410890
5.54852413 2.43835478
5.54418177 2.42811645
5.53680480 2.41332861
5.33511061 2.39147904
5.52149420 2.31004248
5.74284537 2.15067305
5.74071523 2.12826186
5.72768009 2.10541078
5.65508620 2.09435119
5.35383024 2.33496504
5.65694785 2.05012128
5.72710824 2.01523409
5.73366135 1.99568347
5.68237128 1.99210415
5.78167004 1.95998626
5.74176255 1.94457181
5.76941583 1.92603760
5.78976516 1.90938538
5.81976875 1.89602865
5.84680140 1.88275545
5.87458701 1.86774147
5.92200284 1.84733999
5.95559360 1.82025439
6.00053370 1.82246260
6.02982976 1.78334373
6.05371316 1.74789075
6.07357493 1.71367422
6.09805192 1.68354968
6.11418813 1.65914747
6.13723826 1.64239449
6.13361918 1.62983637
6.15351563 1.62035342
6.14304830 1.61677994
6.14558509 1.61360934
6.14013906 1.61378081
6.13977254 1.61939466
6.12420996 1.62548155
6.14537817 1.62964909
6.15275352 1.64726742
6.13383926 1.69916447
6.12325394 1.66430946
6.06996223 1.73184245
6.04216947 1.74474600
5.98592148 1.76389454
5.95748185 1.77329463
5.92998866 1.78254552
5.88324343 1.80118524
5.86242236 1.81108448
5.85067179 1.81762183
5.83658529 1.82288423
5.79410954 1.83635102
5.78170536 1.84579716
5.76532851 1.85789246
5.74729094 1.87426825
5.74799801 1.88834540
5.75803642 1.90069731
5.77045907 1.91630992
5.93468045 1.90134361
5.95012358 1.91348327
5.94367164 1.93098540
5.74368466 2.02400113
5.73283110 2.04223705
5.71969001 2.06190522
5.70407102 2.08402570
5.67536869 2.11253025
5.56010636 2.11718490
5.52352470 2.20081002
5.41546868 2.20566164
5.44703298 2.26363539
5.41140655 2.29649000
5.37021955 2.33570213
5.35441958 2.35751492
5.35521360 2.37839338
5.35853718 2.39582426
5.36571082 2.41240108
5.34500675 2.44194222
5.35052062 2.44441967
5.30003717 2.44486397
5.31294186 2.46082586
5.32883293 2.47492934
5.33703955 2.49512871
5.34452011 2.51376791
5.34776999 2.53641876
5.34462320 2.55894608
5.33143790 2.58232448
5.34053980 2.59630869
5.42385960 2.61505890
5.62538102 2.56279272
5.63628217 2.58673116
5.60320000 2.63985872
5.62441883 2.66071953
5.64495660 2.68358344
5.78145371 2.68918289
5.79005687 2.72595804
5.80752805 2.75011867
5.81710325 2.78752755
5.83795223 2.81314313
5.85562286 2.83895943
5.86779512 2.86805926
5.87198600 2.89685352
5.76532805 2.92167124
5.76281828 2.95159502
5.42053675 3.05744088
5.42355713 3.07280055
5.81313284 3.09301164
5.81433232 3.10706467
5.44998462 3.28727676
5.35788247 3.40135725
5.37950659 3.39190260
5.39649286 3.37920596
5.29070890 3.28661889
5.30781069 3.26277722
5.50808311 3.18777377
5.28463179 3.25084453
5.29575539 3.23265103
5.30876588 3.21631040
5.31829132 3.20668695
5.33447756 3.19209083
5.34762369 3.17702807
5.35659859 3.16313518
5.27100391 3.15422207
5.23292042 3.13126120
5.39680383 3.07730958
5.41863491 3.05677198
5.43703055 3.02489440
5.44897354 2.99406598
5.45710870 2.96223733
5.45961361 2.93103020
5.46107282 2.90126816
5.77540118 2.71469531
5.78136427 2.69127709
5.78960585 2.59597613
5.79318474 2.59210878
5.80017967 2.58630077
5.80684698 2.58490609
5.81224099 2.57994904
5.81709810 2.57808774
5.96384628 2.60242454
5.98375679 2.68762432
5.98273919 2.68973963
5.98467909 2.68268393
5.98532800 2.67544953
5.98580767 2.66442934
5.98506806 2.65672237
6.00668223 2.65630002
6.00140815 2.65377068
6.11508560 2.62443409
6.00879760 2.63345604
5.99035061 2.61647104
5.99122517 2.61781525
6.02221226 2.62544084
5.94340331 2.63433625
5.94483531 2.64177046
5.95104219 2.65310079
5.96359680 2.66151316
5.96522506 2.68595721
5.97810544 2.69733986
