x	zg centrado sin panza
0	-8.254823372
0.001038906	-8.373310242
0.002077812	-8.177320361
0.003116717	-8.287338732
0.004155623	-8.621794301
0.005194529	-8.294289905
0.006233435	-7.851476374
0.007272341	-8.050275113
0.008311247	-8.217953624
0.009350152	-7.692230395
0.010389058	-8.251237779
0.011427964	-8.075801144
0.01246687	-8.408547294
0.013505776	-8.575237874
0.014544681	-8.581791382
0.015583587	-8.441151522
0.016622493	-8.602117081
0.017661399	-8.534671681
0.018700305	-8.481068557
0.01973921	-8.888090641
0.020778116	-9.062536821
0.021817022	-8.885269075
0.022855928	-9.390428165
0.023894834	-9.297755598
0.02493374	-9.720391563
0.025972645	-9.502857824
0.027011551	-9.832409253
0.028050457	-10.11059607
0.029089363	-10.36815344
0.030128269	-9.968642096
0.031167174	-9.891447236
0.03220608	-10.11292541
0.033244986	-10.59797864
0.034283892	-10.46731042
0.035322798	-10.38851523
0.036361704	-10.87988066
0.037400609	-10.58775502
0.038439515	-10.93467237
0.039478421	-11.45789206
0.040517327	-10.89990637
0.041556233	-11.24653317
0.042595138	-11.44652651
0.043634044	-11.29294316
0.04467295	-11.24618833
0.045711856	-11.12345593
0.046750762	-11.43687163
0.047789667	-11.06904493
0.048828573	-11.09164476
0.049867479	-10.92076489
0.050906385	-10.91419225
0.051945291	-11.0341686
0.052984197	-10.77590976
0.054023102	-10.43211027
0.055062008	-11.08667035
0.056100914	-10.86180196
0.05713982	-9.996342592
0.058178726	-10.63338893
0.059217631	-11.14228436
0.060256537	-11.15859604
0.061295443	-10.08298561
0.062334349	-9.843729703
0.063373255	-9.952687417
0.064412161	-10.56290709
0.065451066	-10.5705309
0.066489972	-10.48106747
0.067528878	-10.35535171
0.068567784	-9.792435727
0.06960669	-9.610470239
0.070645595	-9.353525048
0.071684501	-9.559097007
0.072723407	-9.409930165
0.073762313	-9.894981461
0.074801219	-10.13406354
0.075840124	-9.761151517
0.07687903	-9.814975176
0.077917936	-9.25796805
0.078956842	-9.486665936
0.079995748	-9.199092025
0.081034654	-9.345594511
0.082073559	-9.200861794
0.083112465	-8.877827103
0.084151371	-8.880448554
0.085190277	-9.149389583
0.086229183	-8.965262057
0.087268088	-9.03395455
0.088306994	-9.062211611
0.0893459	-8.701504989
0.090384806	-8.591010186
0.091423712	-8.503702831
0.092462618	-8.457256692
0.093501523	-8.493541859
0.094540429	-8.298533462
0.095579335	-8.372013962
0.096618241	-8.18459498
0.097657147	-8.105685474
0.098696052	-8.130728187
0.099734958	-7.532879419
0.100773864	-7.665436216
0.10181277	-7.525071189
0.102851676	-7.665867739
0.103890581	-7.748796145
0.104929487	-7.568333834
0.105968393	-7.562414708
0.107007299	-7.670841442
0.108046205	-7.256509221
0.109085111	-6.932173357
0.110124016	-7.036974848
0.111162922	-7.171690366
0.112201828	-7.2687046
0.113240734	-6.984315155
0.11427964	-6.543347801
0.115318545	-6.240122718
0.116357451	-6.674157179
0.117396357	-6.881377975
0.118435263	-6.452319992
0.119474169	-5.903388949
0.120513074	-5.93674584
0.12155198	-5.891738291
0.122590886	-5.671921624
0.123629792	-5.692378928
0.124668698	-5.389438821
0.125707604	-5.033511077
0.126746509	-4.953293146
0.127785415	-4.923476136
0.128824321	-4.707014062
0.129863227	-4.895234017
0.130902133	-5.076786044
0.131941038	-5.014648885
0.132979944	-4.354694584
0.13401885	-4.452952396
0.135057756	-4.309030418
0.136096662	-4.345324235
0.137135568	-4.433793354
0.138174473	-4.323495797
0.139213379	-4.171123539
0.140252285	-4.263738979
0.141291191	-4.33245257
0.142330097	-4.0119552
0.143369002	-3.87913969
0.144407908	-3.80402618
0.145446814	-3.684160841
0.14648572	-3.585840394
0.147524626	-3.39386863
0.148563531	-3.346681473
0.149602437	-3.432221011
0.150641343	-3.0842665
0.151680249	-2.968076842
0.152719155	-3.114492453
0.153758061	-2.742361364
0.154796966	-2.41249254
0.155835872	-2.455627461
0.156874778	-2.33117928
0.157913684	-2.844778634
0.15895259	-2.787695343
0.159991495	-2.699190686
0.161030401	-2.519833095
0.162069307	-2.461043142
0.163108213	-2.30259701
0.164147119	-2.380270607
0.165186025	-2.324954091
0.16622493	-2.150851214
0.167263836	-2.437075329
0.168302742	-1.914608685
0.169341648	-1.461933787
0.170380554	-1.605005512
0.171419459	-1.970646573
0.172458365	-1.523090256
0.173497271	-1.306298746
0.174536177	-1.064034837
0.175575083	-1.072413863
0.176613988	-0.714515755
0.177652894	-0.517032807
0.1786918	-0.546379229
0.179730706	-0.64046646
0.180769612	-0.53725309
0.181808518	-0.563016893
0.182847423	-0.587124836
0.183886329	-0.823239673
0.184925235	-0.318358818
0.185964141	-0.250579006
0.187003047	-0.390123704
0.188041952	0.017081958
0.189080858	0.158622719
0.190119764	0.298727519
0.19115867	0.348473429
0.192197576	0.684325559
0.193236482	0.388396903
0.194275387	0.587215133
0.195314293	0.579067472
0.196353199	0.513860947
0.197392105	0.728927774
0.198431011	0.634828262
0.199469916	0.297047265
0.200508822	0.949909074
0.201547728	0.816961729
0.202586634	0.757082675
0.20362554	0.755405019
0.204664445	1.066051758
0.205703351	0.629770888
0.206742257	0.724066582
0.207781163	0.426177328
0.208820069	0.856168004
0.209858975	0.829841136
0.21089788	0.826709489
0.211936786	0.732871914
0.212975692	1.100189609
0.214014598	1.005193913
0.215053504	0.969380074
0.216092409	0.764142466
0.217131315	0.910136363
0.218170221	1.045403927
0.219209127	1.230201354
0.220248033	1.185569986
0.221286939	1.12313796
0.222325844	1.157636424
0.22336475	1.03850409
0.224403656	1.180197241
0.225442562	1.334394715
0.226481468	1.298307274
0.227520373	1.196724158
0.228559279	1.246288097
0.229598185	1.222678758
0.230637091	1.023835465
0.231675997	1.236118862
0.232714902	1.124938018
0.233753808	1.091923334
0.234792714	1.025542337
0.23583162	0.938234231
0.236870526	1.150072488
0.237909432	0.901119125
0.238948337	1.155085622
0.239987243	1.28470952
0.241026149	1.287467053
0.242065055	1.170558225
0.243103961	1.041005508
0.244142866	0.71597105
0.245181772	0.665678393
0.246220678	0.814360426
0.247259584	1.060531047
0.24829849	1.084811351
0.249337396	0.909435588
0.250376301	0.679482387
0.251415207	0.771831945
0.252454113	0.644037446
0.253493019	0.216483057
0.254531925	0.194358667
0.25557083	0.426810083
0.256609736	0.424197333
0.257648642	0.230750878
0.258687548	0.073619942
0.259726454	-0.36245834
0.260765359	-0.676499144
0.261804265	-0.566423844
0.262843171	-1.344485392
0.263882077	-1.330554353
0.264920983	-1.753337783
0.265959889	-2.434101727
0.266998794	-2.442272342
0.2680377	-3.347831508
0.269076606	-3.422146517
0.270115512	-3.373186878
0.271154418	-4.755824702
0.272193323	-4.687163563
0.273232229	-5.215542039
0.274271135	-5.741795549
0.275310041	-5.521315024
0.276348947	-6.340660891
0.277387853	-6.740081101
0.278426758	-6.69041162
0.279465664	-6.929397387
0.28050457	-7.031750623
0.281543476	-7.245467779
0.282582382	-7.419108206
0.283621287	-7.55209326
0.284660193	-8.013027808
0.285699099	-8.738702023
0.286738005	-8.682227948
0.287776911	-9.351328202
0.288815816	-9.304606029
0.289854722	-9.524925964
0.290893628	-9.806786259
0.291932534	-9.488837344
0.29297144	-9.982726694
0.294010346	-9.982184257
0.295049251	-9.912314923
0.296088157	-9.955025343
0.297127063	-9.711223323
0.298165969	-10.20618223
0.299204875	-10.06862367
0.30024378	-9.779687487
0.301282686	-9.212746467
0.302321592	-9.877922844
0.303360498	-9.52283156
0.304399404	-9.601296469
0.30543831	-9.768962699
0.306477215	-9.604822911
0.307516121	-10.05280093
0.308555027	-9.963458835
0.309593933	-10.12953445
0.310632839	-9.928812154
0.311671744	-9.609476496
0.31271065	-9.763838818
0.313749556	-10.23537024
0.314788462	-10.18614002
0.315827368	-9.746631432
0.316866273	-10.23799792
0.317905179	-10.18964204
0.318944085	-10.24917311
0.319982991	-10.32954732
0.321021897	-10.84720243
0.322060803	-10.74607718
0.323099708	-10.77720695
0.324138614	-11.32744364
0.32517752	-10.90335074
0.326216426	-11.67576745
0.327255332	-11.46084387
0.328294237	-11.40982998
0.329333143	-11.20528452
0.330372049	-11.3883355
0.331410955	-11.29417787
0.332449861	-12.16929621
0.333488767	-12.07567283
0.334527672	-11.80082949
0.335566578	-12.02315518
0.336605484	-11.74017831
0.33764439	-11.49517895
0.338683296	-11.27996063
0.339722201	-11.78471122
0.340761107	-11.77364068
0.341800013	-11.89101116
0.342838919	-11.77996129
0.343877825	-11.81253275
0.34491673	-11.94847129
0.345955636	-11.8955247
0.346994542	-11.66717745
0.348033448	-12.00160642
0.349072354	-12.02476425
0.35011126	-12.03876792
0.351150165	-11.81800349
0.352189071	-12.38192143
0.353227977	-12.18687554
0.354266883	-11.65196137
0.355305789	-11.70020795
0.356344694	-11.63871994
0.3573836	-11.80085149
0.358422506	-11.86943279
0.359461412	-12.40580778
0.360500318	-12.57954034
0.361539223	-12.45402533
0.362578129	-11.63533342
0.363617035	-11.97502585
0.364655941	-11.80437799
0.365694847	-12.03341596
0.366733753	-12.08559917
0.367772658	-11.44826612
0.368811564	-11.51301928
0.36985047	-11.64501711
0.370889376	-11.75233359
0.371928282	-11.53287232
0.372967187	-11.67417
0.374006093	-11.75561344
0.375044999	-11.54666702
0.376083905	-11.3469136
0.377122811	-11.47319289
0.378161717	-10.93979201
0.379200622	-11.12012825
0.380239528	-11.02199569
0.381278434	-10.85802125
0.38231734	-10.83840579
0.383356246	-10.88424767
0.384395151	-11.01109664
0.385434057	-11.03938998
0.386472963	-10.94227784
0.387511869	-11.00664543
0.388550775	-10.79905941
