x	zg centrado sin panza
0.001558359	5.111319684
0.002597265	5.035492326
0.00363617	5.117922885
0.004675076	4.74393869
0.005713982	4.677643008
0.006752888	4.543255825
0.007791794	4.190598308
0.008830699	4.252640053
0.009869605	4.085230684
0.010908511	4.033420832
0.011947417	3.734489587
0.012986323	3.460305416
0.014025228	3.380974508
0.015064134	3.335013821
0.01610304	3.031311143
0.017141946	3.124306739
0.018180852	3.096626626
0.019219758	2.992847697
0.020258663	2.721563259
0.021297569	2.594798762
0.022336475	2.674310847
0.023375381	2.179893005
0.024414287	1.8084026
0.025453192	1.727039908
0.026492098	1.770743706
0.027531004	1.710067362
0.02856991	1.793039576
0.029608816	1.805185357
0.030647722	1.736857833
0.031686627	1.939263101
0.032725533	1.778139898
0.033764439	1.669155483
0.034803345	1.763307181
0.035842251	1.809354821
0.036881156	1.753610704
0.037920062	1.860703194
0.038958968	1.930439577
0.039997874	1.644469512
0.04103678	1.230830589
0.042075685	1.25072224
0.043114591	1.569105897
0.044153497	1.421218009
0.045192403	1.21678079
0.046231309	1.09305795
0.047270215	1.066225295
0.04830912	1.217385367
0.049348026	1.219742987
0.050386932	1.015208355
0.051425838	0.989533029
0.052464744	1.27084424
0.053503649	1.14425
0.054542555	1.063804856
0.055581461	1.030539832
0.056620367	0.869440232
0.057659273	0.113698979
0.058698179	0.276637272
0.059737084	0.488526254
0.06077599	0.512926138
0.061814896	0.187655624
0.062853802	0.204169274
0.063892708	0.210208481
0.064931613	-0.107226534
0.065970519	-0.161353887
0.067009425	-0.081804464
0.068048331	-0.070392351
0.069087237	-0.297803682
0.070126142	-0.594003166
0.071165048	-0.859795759
0.072203954	-0.840066467
0.07324286	-0.306855264
0.074281766	-0.566669648
0.075320672	-0.519660256
0.076359577	-0.919429805
0.077398483	-0.976594507
0.078437389	-0.959456774
0.079476295	-0.949726678
0.080515201	-0.983098975
0.081554106	-0.977371628
0.082593012	-1.097899981
0.083631918	-1.039900936
0.084670824	-0.167138356
0.08570973	-0.144395302
0.086748636	-0.368572335
0.087787541	-0.807088267
0.088826447	-0.774517349
0.089865353	-0.793892163
0.090904259	-1.030644106
0.091943165	-1.109091809
0.09298207	-0.778324662
0.094020976	-0.769176836
0.095059882	-0.795882675
0.096098788	-0.792567112
0.097137694	-0.756190296
0.098176599	-0.451597335
0.099215505	-0.374728529
0.100254411	-0.436498643
0.101293317	-0.403012974
0.102332223	-0.286295476
0.103371129	-0.063947649
0.104410034	0.093615597
0.10544894	0.046408109
0.106487846	-0.012472293
0.107526752	-0.018246536
0.108565658	-0.038940443
0.109604563	-0.090107681
0.110643469	-0.300701767
0.111682375	-0.185875631
0.112721281	-0.165004125
0.113760187	-0.128183699
0.114799093	-0.00018202
0.115837998	0.152676822
0.116876904	0.04872334
0.11791581	0.139164315
0.118954716	0.108970916
0.119993622	-0.261689722
0.121032527	-0.600169705
0.122071433	-0.617614702
0.123110339	-0.763063803
0.124149245	-0.852408869
0.125188151	-0.918155927
0.126227056	-0.892942319
0.127265962	-0.834918573
0.128304868	-0.899484429
0.129343774	-1.021887329
0.13038268	-1.072228129
0.131421586	-1.157951766
0.132460491	-1.205429904
0.133499397	-1.240038855
0.134538303	-1.533049894
0.135577209	-1.522574189
0.136616115	-1.201094538
0.13765502	-1.297782342
0.138693926	-1.405797858
0.139732832	-1.610177491
0.140771738	-1.709465884
0.141810644	-1.74477357
0.14284955	-1.704159787
0.143888455	-1.668714632
0.144927361	-1.487600102
0.145966267	-1.448561497
0.147005173	-1.597257996
0.148044079	-1.665103705
0.149082984	-1.707981926
0.15012189	-1.70117273
0.151160796	-1.677667319
0.152199702	-1.495837083
0.153238608	-1.428440489
0.154277513	-1.341935693
0.155316419	-1.311874948
0.156355325	-1.401726026
0.157394231	-1.47060183
0.158433137	-1.371932049
0.159472043	-1.048224469
0.160510948	-1.148194245
0.161549854	-1.28888879
0.16258876	-1.25937513
0.163627666	-1.178474935
0.164666572	-1.292187618
0.165705477	-1.331928312
0.166744383	-1.279418378
0.167783289	-1.299120348
0.168822195	-1.234592795
0.169861101	-1.234568583
0.170900007	-1.168767341
0.171938912	-1.217748625
0.172977818	-1.220184256
