X(mm)	Z(mm)
7.785459999999999690e-04	3.465370174731280395e-01
1.297575999999999938e-03	3.516117856956815224e-01
1.816605999999999907e-03	3.565470178249698918e-01
2.335635999999999875e-03	3.613356211804714668e-01
2.854666000000000061e-03	3.659706799836359159e-01
3.373694999999999906e-03	3.704454670589838461e-01
3.892725000000000091e-03	3.747534549876871401e-01
4.411754999999999843e-03	3.788883266822433149e-01
4.930785000000000029e-03	3.828439853533976422e-01
5.449815000000000215e-03	3.866145638431799370e-01
5.968845000000000400e-03	3.901944333007880128e-01
6.487874999999999719e-03	3.935782111810411377e-01
7.006904000000000431e-03	3.967607685482145152e-01
7.525933999999999749e-03	3.997372366712276803e-01
8.044963999999999935e-03	4.025030128993609679e-01
8.563994000000000120e-03	4.050537658108923633e-01
9.083024000000000306e-03	4.073854396302559744e-01
9.602054000000000492e-03	4.094942579124961068e-01
1.012108400000000068e-02	4.113767264968978821e-01
1.064011299999999965e-02	4.130296357346953662e-01
1.115914299999999984e-02	4.144500619986748458e-01
1.167817300000000003e-02	4.156353684852889252e-01
1.219720300000000021e-02	4.165832053225534959e-01
1.271623300000000040e-02	4.172915089995063997e-01
1.323526300000000058e-02	4.177585011353411315e-01
1.375429199999999956e-02	4.179826866084900838e-01
1.427332199999999975e-02	4.179628510679184727e-01
1.479235199999999993e-02	4.176980578507059061e-01
1.531138200000000012e-02	4.171876443316470118e-01
1.583041199999999857e-02	4.164312177321051744e-01
1.634944199999999875e-02	4.154286504167033489e-01
1.686847199999999894e-02	4.141800747076483935e-01
1.738750099999999965e-02	4.126858772475604509e-01
1.790653099999999984e-02	4.109466929426363047e-01
1.842556100000000002e-02	4.089633985188224075e-01
1.894459100000000021e-02	4.067371057244174026e-01
1.946362100000000039e-02	4.042691542131696125e-01
1.998265100000000058e-02	4.015611041424719252e-01
2.050168100000000077e-02	3.986147285216700142e-01
2.102071000000000148e-02	3.954320053457883177e-01
2.153974000000000166e-02	3.920151095501324123e-01
2.205876999999999838e-02	3.883664048212436826e-01
2.257779999999999856e-02	3.844884352995768806e-01
2.309682999999999875e-02	3.803839172090343612e-01
2.361585999999999894e-02	3.760557304481353946e-01
2.413488899999999965e-02	3.715069101771234505e-01
2.465391899999999983e-02	3.667406384347134396e-01
2.517294900000000002e-02	3.617602358174565325e-01
2.569197900000000021e-02	3.565691532538459163e-01
2.621100900000000039e-02	3.511709639043062436e-01
2.673003900000000058e-02	3.455693552170970295e-01
2.724906900000000076e-02	3.397681211689161374e-01
2.776809800000000147e-02	3.337711547176149818e-01
2.828712800000000166e-02	3.275824404929356670e-01
2.880615799999999838e-02	3.212060477495555233e-01
2.932518799999999856e-02	3.146461236049891141e-01
2.984421799999999875e-02	3.079068865830683621e-01
3.036324799999999893e-02	3.009926204818134110e-01
3.088227799999999912e-02	2.939076685825390278e-01
3.140130700000000330e-02	2.866564282150320664e-01
3.192033700000000002e-02	2.792433456915982548e-01
3.243936699999999673e-02	2.716729116207280414e-01
3.295839700000000039e-02	2.639496566090841490e-01
3.347742699999999710e-02	2.560781473584698431e-01
3.399645700000000076e-02	2.480629831624075188e-01
3.451548599999999800e-02	2.399087928049489227e-01
3.503451600000000166e-02	2.316202318623636902e-01
3.555354599999999837e-02	2.232019804064271640e-01
3.607257600000000203e-02	2.146587411061685602e-01
3.659160599999999874e-02	2.059952377231487608e-01
3.711063600000000240e-02	1.972162139936150527e-01
3.762966599999999912e-02	1.883264328892207962e-01
3.814869500000000330e-02	1.793306762464003390e-01
3.866772500000000001e-02	1.702337447529438108e-01
3.918675499999999673e-02	1.610404582788216854e-01
3.970578500000000038e-02	1.517556565368577970e-01
4.022481499999999710e-02	1.423842000574352118e-01
4.074384500000000076e-02	1.329309714600309666e-01
4.126287499999999747e-02	1.234008770030043389e-01
4.178190400000000165e-02	1.137988483916988064e-01
4.230093399999999837e-02	1.041298448235623564e-01
4.281996400000000202e-02	9.439885524765567748e-02
4.333899399999999874e-02	8.461090081462274703e-02
4.385802400000000240e-02	7.477103749196954696e-02
4.437705399999999911e-02	6.488435881835970254e-02
4.489608400000000277e-02	5.495599876961142910e-02
4.541511300000000001e-02	4.499113470818338900e-02
4.593414299999999673e-02	3.499499038717986815e-02
4.645317300000000038e-02	2.497283897930608829e-02
4.697220299999999710e-02	1.493000610078326455e-02
4.749123300000000075e-02	4.871872800016121240e-03
4.801026299999999747e-02	-5.196121519189663210e-03
4.852929200000000165e-02	-1.526847626982946737e-02
4.904832199999999837e-02	-2.533962697883411150e-02
4.956735200000000202e-02	-3.540394273798554842e-02
5.008638199999999874e-02	-4.545572383661338617e-02
5.060541200000000239e-02	-5.548919960306052113e-02
5.112444199999999911e-02	-6.549852648075374373e-02
5.164347200000000276e-02	-7.547778636343556447e-02
5.216250100000000001e-02	-8.542098521271368483e-02
5.268153099999999672e-02	-9.532205197956612752e-02
5.320056100000000038e-02	-1.051748378498044562e-01
5.371959099999999709e-02	-1.149731158317533475e-01
5.423862100000000075e-02	-1.247105807025652296e-01
5.475765099999999747e-02	-1.343808493276770766e-01
5.527668100000000112e-02	-1.439774613659590696e-01
5.579570999999999836e-02	-1.534938803711228261e-01
5.631474000000000202e-02	-1.629234952979643769e-01
5.683376999999999873e-02	-1.722596224200234061e-01
5.735280000000000239e-02	-1.814955076632462638e-01
5.787182999999999911e-02	-1.906243293582502996e-01
5.839086000000000276e-02	-1.996392014118033575e-01
5.890988900000000000e-02	-2.085331768961620758e-01
