# Frequency (Hz)	Transfer Amplitude
0.000000000000000000e+00	6.879324144553709885e+00
3.999946875705556737e-02	8.174869081054971787e+00
7.999893751411113474e-02	4.330714597294718970e+00
1.199984062711667021e-01	7.294500538773571741e-01
1.599978750282222695e-01	9.828990296475044464e-02
1.999973437852778368e-01	5.071435384749768682e-02
2.399968125423334042e-01	2.682583589433096966e-02
2.799962812993889716e-01	1.575260736566913566e-01
3.199957500564445390e-01	5.320639118130278400e-02
3.599952188135001063e-01	1.965370575941894141e-02
3.999946875705556737e-01	4.098352826600487608e-01
4.399941563276112411e-01	2.350412884275312336e-02
4.799936250846668084e-01	1.936681668909108825e-02
5.199930938417223203e-01	1.118602359632669442e-02
5.599925625987779432e-01	1.264648216204067657e-02
5.999920313558335661e-01	7.818672898749632477e-03
6.399915001128890779e-01	2.582949133921551635e-02
6.799909688699445898e-01	1.488904467449097754e-02
7.199904376270002127e-01	1.495101224711200757e-02
7.599899063840558355e-01	1.477109284132305071e-02
7.999893751411113474e-01	4.230996986124956755e-02
8.399888438981668592e-01	1.546586461131581325e-02
8.799883126552224821e-01	1.415586905081485727e-02
9.199877814122781050e-01	2.348115468968421313e-02
9.599872501693336169e-01	1.615315646821906259e-02
9.999867189263891287e-01	1.683838720193474303e-02
1.039986187683444641e+00	8.409154860747459700e-03
1.079985656440500374e+00	2.961949434836076006e-02
1.119985125197555886e+00	3.617664025553708057e-03
1.159984593954611398e+00	1.084906075016216914e-02
1.199984062711667132e+00	1.761782867364956526e-02
1.239983531468722644e+00	3.614069673076724526e-02
1.279983000225778156e+00	2.362274878681304771e-02
1.319982468982833668e+00	7.244126163458938263e-03
1.359981937739889180e+00	2.429294848124515654e-02
1.399981406496944913e+00	3.814318480631533059e-02
1.439980875254000425e+00	1.442305183612033713e-02
1.479980344011055937e+00	3.036148166469192222e-02
1.519979812768111671e+00	1.139776174355902269e-02
1.559979281525167183e+00	7.222172886800436176e-02
1.599978750282222695e+00	4.540704906358705717e-02
1.639978219039278207e+00	6.493291199550184530e-03
1.679977687796333718e+00	1.923683688605959050e-02
1.719977156553389452e+00	1.848442087098261036e-02
1.759976625310444964e+00	6.620255265308983353e-03
1.799976094067500476e+00	3.051975287534424569e-02
1.839975562824556210e+00	1.921414647750493629e-02
1.879975031581611722e+00	1.447056755191246033e-02
1.919974500338667234e+00	1.001365410301183027e-02
1.959973969095722746e+00	3.534552594134218739e-02
1.999973437852778257e+00	3.838858845452886026e-02
2.039972906609833991e+00	8.136113565587167751e-03
2.079972375366889281e+00	2.290240542207732082e-03
2.119971844123945015e+00	7.587130351454239065e-03
2.159971312881000749e+00	6.568030504059125044e-03
2.199970781638056039e+00	1.651795802304318814e-02
2.239970250395111773e+00	5.825615382922084799e-03
2.279969719152167507e+00	4.314271922991135683e-02
2.319969187909222796e+00	6.043834820501596018e-03
2.359968656666278530e+00	2.100271152915723569e-02
2.399968125423334264e+00	9.415651048367019299e-03
2.439967594180389554e+00	2.740241365545593652e-02
2.479967062937445288e+00	9.129370135907364722e-03
2.519966531694500578e+00	2.572075938027621606e-02
2.559966000451556312e+00	1.166895283979791677e-02
2.599965469208612046e+00	2.416241873406772475e-02
2.639964937965667335e+00	1.640909115256514519e-02
2.679964406722723069e+00	7.442565791243602180e-02
2.719963875479778359e+00	1.328461896754471643e-03
2.759963344236834093e+00	3.880250922339359421e-03
2.799962812993889827e+00	5.756408116947456244e-03
2.839962281750945117e+00	2.262638063004275210e-02
2.879961750508000851e+00	8.086419813032721948e-03
2.919961219265056585e+00	5.552082224693952184e-02
2.959960688022111874e+00	2.426609837396118477e-02
2.999960156779167608e+00	3.529647273089468740e-02
3.039959625536223342e+00	7.714291164466693940e-02
3.079959094293278632e+00	3.794883503451648710e-02
3.119958563050334366e+00	5.275228613440165713e-03
3.159958031807389656e+00	1.101960590735908962e-01
3.199957500564445390e+00	3.313841493077820249e-02
3.239956969321501123e+00	1.171248692221800100e-02
