# Frequency (Hz)	Amplitude
0.000000000000000000e+00	2.633756378440023127e+02
3.333289063087964410e-02	4.188645387200291736e+01
6.666578126175928820e-02	1.128053836406508736e+02
9.999867189263893230e-02	6.534111506263825220e+01
1.333315625235185764e-01	1.089543274788365181e+02
1.666644531543982066e-01	5.836686048217381995e+01
1.999973437852778646e-01	4.536517794991810604e+01
2.333302344161575226e-01	3.926877539089861102e+01
2.666631250470371528e-01	2.454558721314437619e+01
2.999960156779167830e-01	1.411396342580913732e+00
3.333289063087964132e-01	1.283956418535300159e+01
3.666617969396760990e-01	1.043468853475619085e+01
3.999946875705557292e-01	2.298867002340205090e+01
4.333275782014353594e-01	8.220535254930398494e+00
4.666604688323150452e-01	2.177082116146862134e+01
4.999933594631946754e-01	2.948002708328141352e+01
5.333262500940743056e-01	1.770121636906660001e+01
5.666591407249539358e-01	1.047065577184158514e+01
5.999920313558335661e-01	1.532247891546353102e+01
6.333249219867131963e-01	1.891948568397780406e+01
6.666578126175928265e-01	2.859027331227020241e+01
6.999907032484725677e-01	1.110434398714684967e+00
7.333235938793521980e-01	8.936443569863826042e+00
7.666564845102318282e-01	9.959034756746047989e+00
7.999893751411114584e-01	9.363914667572354134e+00
8.333222657719910886e-01	9.956757935045351005e+00
8.666551564028707189e-01	1.079636241458761781e+01
8.999880470337503491e-01	1.291486764545004462e+01
9.333209376646300903e-01	9.785804277421586761e+00
9.666538282955097205e-01	1.409177425768039704e+01
9.999867189263893508e-01	6.302907412547510191e+00
1.033319609557268981e+00	1.320608882089700664e+01
1.066652500188148611e+00	1.255378916492863084e+01
1.099985390819028241e+00	1.230664061907779327e+01
1.133318281449907872e+00	5.053937771039232807e+00
1.166651172080787502e+00	6.533855507545459851e+00
1.199984062711667132e+00	1.288850914151181293e+01
1.233316953342546762e+00	1.432070254356612971e+01
1.266649843973426393e+00	7.752051290886456947e+00
1.299982734604306023e+00	2.804586783798387994e+00
1.333315625235185653e+00	1.366892253159810622e+01
1.366648515866065505e+00	1.534324734140458268e+01
1.399981406496945135e+00	1.227332495070039897e+01
1.433314297127824766e+00	2.564846812421607503e+00
1.466647187758704396e+00	9.833290628719160154e+00
1.499980078389584026e+00	4.570317816526588750e+00
1.533312969020463656e+00	7.175900287047610071e+00
1.566645859651343287e+00	4.153478974190302431e+00
1.599978750282222917e+00	9.967440640261660434e+00
1.633311640913102547e+00	6.917563030630486942e+00
1.666644531543982177e+00	4.302810674486625686e+00
1.699977422174861807e+00	1.927262521791175631e+00
1.733310312805741438e+00	1.252840780653997754e+01
1.766643203436621068e+00	1.032982899433988244e+01
1.799976094067500698e+00	1.018395414174579017e+01
1.833308984698380328e+00	6.608756721409171142e+00
1.866641875329260181e+00	4.017204759231361777e+00
1.899974765960139811e+00	9.215907863577799120e+00
1.933307656591019441e+00	4.947806983199877884e+00
1.966640547221899071e+00	8.289907215397525064e+00
1.999973437852778702e+00	1.441840833225199781e+01
2.033306328483658110e+00	1.116465581591464229e+01
2.066639219114537962e+00	1.076441941633347454e+01
2.099972109745417370e+00	3.082536073845066227e+00
2.133305000376297222e+00	6.197583900101480303e+00
2.166637891007177075e+00	2.048570117292116777e+01
2.199970781638056483e+00	3.982330628794533034e+00
2.233303672268936335e+00	1.238455599948966501e+01
2.266636562899815743e+00	1.277362376821472445e+01
2.299969453530695596e+00	1.544692072360419566e+01
2.333302344161575004e+00	1.369515252816649031e+01
2.366635234792454856e+00	1.274927600993351717e+01
2.399968125423334264e+00	1.027957690022930493e+01
2.433301016054214116e+00	5.701348098119548347e+00
