# Frequency (Hz)	PSD (Amplitude^2/Hz)
0.000000000000000000e+00	1.779457863855478106e-01
3.610108303249097261e+00	1.064129567171135715e+00
7.220216606498194523e+00	1.783234257322693916e-01
1.083032490974729178e+01	1.289879934540924707e-02
1.444043321299638905e+01	3.196983248826730951e-03
1.805054151624548808e+01	6.503643527782761646e-04
2.166064981949458357e+01	1.615510287292214067e-04
2.527075812274367905e+01	2.319282769475981479e-05
2.888086642599277809e+01	3.994671033208486477e-06
3.249097472924187713e+01	1.010967171641610055e-06
3.610108303249097617e+01	4.687724159014723441e-07
3.971119133574006810e+01	2.462899739081741926e-07
4.332129963898916714e+01	1.418055696567021204e-07
4.693140794223826617e+01	8.719395127761298453e-08
5.054151624548735811e+01	5.559645899155322970e-08
5.415162454873645714e+01	3.649641468795876115e-08
5.776173285198555618e+01	2.468702102954845126e-08
6.137184115523465522e+01	1.709433626237287121e-08
6.498194945848375426e+01	1.209681407738203592e-08
6.859205776173284619e+01	8.723842996988368216e-09
7.220216606498195233e+01	6.399284940929460601e-09
7.581227436823104426e+01	4.766476314438939613e-09
7.942238267148013620e+01	3.599787022334953021e-09
8.303249097472924234e+01	2.753100423798822977e-09
8.664259927797833427e+01	2.129904027836222303e-09
9.025270758122742620e+01	1.665234203690448459e-09
9.386281588447653235e+01	1.314626900871039469e-09
9.747292418772562428e+01	1.047172243610109082e-09
1.010830324909747162e+02	8.410746458965842548e-10
1.046931407942238224e+02	6.807607338294391386e-10
1.083032490974729143e+02	5.549669449313393932e-10
1.119133574007220204e+02	4.554539587393313805e-10
1.155234657039711124e+02	3.761303435102763157e-10
1.191335740072202043e+02	3.124482284270062733e-10
1.227436823104693104e+02	2.609804993754111877e-10
1.263537906137184024e+02	2.191221796474020695e-10
1.299638989169675085e+02	1.848769619942000711e-10
1.335740072202166004e+02	1.567032206637437436e-10
1.371841155234656924e+02	1.334017892759367941e-10
1.407942238267147843e+02	1.140334762694181888e-10
1.444043321299639047e+02	9.785792118333066982e-11
1.480144404332129966e+02	8.428790633753344666e-11
1.516245487364620885e+02	7.285495199081860682e-11
1.552346570397111805e+02	6.318323003883721418e-11
1.588447653429602724e+02	5.496964454386446073e-11
1.624548736462093643e+02	4.796852441669235429e-11
1.660649819494584847e+02	4.197978491890621000e-11
1.696750902527075766e+02	3.683972124734690662e-11
1.732851985559566685e+02	3.241380538448867741e-11
1.768953068592057605e+02	2.859102144327385346e-11
1.805054151624548524e+02	2.527938821778247148e-11
1.841155234657039728e+02	2.240240090634937503e-11
1.877256317689530647e+02	1.989619197571709147e-11
1.913357400722021566e+02	1.770725425977661824e-11
1.949458483754512486e+02	1.579060697335422741e-11
1.985559566787003405e+02	1.410831298046550198e-11
2.021660649819494324e+02	1.262827459390605390e-11
2.057761732851985528e+02	1.132325202791449031e-11
2.093862815884476447e+02	1.017006033990010996e-11
2.129963898916967366e+02	9.148909942526563329e-12
2.166064981949458286e+02	8.242863242893140983e-12
2.202166064981949205e+02	7.437385368800405137e-12
2.238267148014440409e+02	6.719971544500699095e-12
2.274368231046931328e+02	6.079837028775914273e-12
2.310469314079422247e+02	5.507658364725021178e-12
2.346570397111913167e+02	4.995356789038017944e-12
2.382671480144404086e+02	4.535916435444607120e-12
2.418772563176895289e+02	4.123231313746414914e-12
2.454873646209386209e+02	3.751976171342604106e-12
2.490974729241877128e+02	3.417497227666423108e-12
2.527075812274368047e+02	3.115719491175630854e-12
2.563176895306859251e+02	2.843067952657047864e-12
2.599277978339350170e+02	2.596400419038472133e-12
2.635379061371841090e+02	2.372950135713542696e-12
2.671480144404332009e+02	2.170276665541780613e-12
2.707581227436822928e+02	1.986223741615684928e-12
2.743682310469313848e+02	1.818883029726136365e-12
2.779783393501804767e+02	1.666562908706460030e-12
2.815884476534295686e+02	1.527761519139076410e-12
2.851985559566786606e+02	1.401143452387163274e-12
2.888086642599278093e+02	1.285519550621300792e-12
2.924187725631769013e+02	1.179829370169464016e-12
2.960288808664259932e+02	1.083125929864725641e-12
2.996389891696750851e+02	9.945624238529350952e-13
3.032490974729241771e+02	9.133806261837694191e-13
3.068592057761732690e+02	8.389007549636183525e-13
3.104693140794223609e+02	7.705125977056439266e-13
3.140794223826714529e+02	7.076677300061859771e-13
3.176895306859205448e+02	6.498726809757787919e-13
3.212996389891696367e+02	5.966829222264860347e-13
3.249097472924187286e+02	5.476975731265254690e-13
3.285198555956678774e+02	5.025547306866505412e-13
3.321299638989169694e+02	4.609273444501277277e-13
3.357400722021660613e+02	4.225195679521725907e-13
3.393501805054151532e+02	3.870635276873742865e-13
3.429602888086642452e+02	3.543164582018698518e-13
3.465703971119133371e+02	3.240581582656204229e-13
3.501805054151624290e+02	2.960887302330041340e-13
3.537906137184115209e+02	2.702265680940729252e-13
3.574007220216606129e+02	2.463065652418069396e-13
3.610108303249097048e+02	2.241785163050062150e-13
3.646209386281587967e+02	2.037056904397373757e-13
3.682310469314079455e+02	1.847635565093332596e-13
3.718411552346570375e+02	1.672386431595336259e-13
3.754512635379061294e+02	1.510275184338457236e-13
3.790613718411552213e+02	1.360358758627493897e-13
3.826714801444043133e+02	1.221777152652175396e-13
3.862815884476534052e+02	1.093746081680358252e-13
3.898916967509024971e+02	9.755503864732898475e-14
3.935018050541515890e+02	8.665381167081462702e-14
3.971119133574006810e+02	7.661152209682245736e-14
4.007220216606497729e+02	6.737407782577240017e-14
4.043321299638988648e+02	5.889227182505676252e-14
4.079422382671480136e+02	5.112139821639477146e-14
4.115523465703971056e+02	4.402090804444102697e-14
4.151624548736461975e+02	3.755410095034267803e-14
4.187725631768952894e+02	3.168784949380075320e-14
4.223826714801443813e+02	2.639235314852689616e-14
4.259927797833934733e+02	2.164091935157320947e-14
4.296028880866425652e+02	1.740976936487800247e-14
4.332129963898916571e+02	1.367786693415652595e-14
4.368231046931407491e+02	1.042676800642915562e-14
4.404332129963898410e+02	7.640490003347944252e-15
4.440433212996389898e+02	5.305399319926138865e-15
4.476534296028880817e+02	3.410115946240178310e-15
4.512635379061371736e+02	1.945434301225708167e-15
4.548736462093862656e+02	9.042594683542116438e-16
4.584837545126353575e+02	2.815582233547209382e-16
4.620938628158844494e+02	3.716219915589485834e-17
