# Frequency (Hz)	PSD (Amplitude^2/Hz)
0.000000000000000000e+00	2.302196397311011625e-03
1.444043321299638905e+01	3.485305365498534563e-02
2.888086642599277809e+01	2.667252651622302722e-03
4.332129963898916714e+01	9.626551681125298696e-05
5.776173285198555618e+01	1.395942392823757252e-05
7.220216606498195233e+01	3.377189528160353670e-06
8.664259927797833427e+01	1.085882402337542588e-06
1.010830324909747162e+02	4.204038429778525203e-07
1.155234657039711124e+02	1.857979001150147807e-07
1.299638989169675085e+02	9.069648411565718973e-08
1.444043321299639047e+02	4.784324732355634501e-08
1.588447653429602724e+02	2.685880287370248989e-08
1.732851985559566685e+02	1.586899375215027438e-08
1.877256317689530647e+02	9.785226516915991437e-09
2.021660649819494324e+02	6.256690394704364029e-09
2.166064981949458286e+02	4.127233409213509349e-09
2.310469314079422247e+02	2.797301767507860400e-09
2.454873646209386209e+02	1.941508837902531822e-09
2.599277978339350170e+02	1.376147087955323379e-09
2.743682310469313848e+02	9.938430080786127971e-10
2.888086642599278093e+02	7.298869021276729310e-10
3.032490974729241771e+02	5.442021050137464095e-10
3.176895306859205448e+02	4.113531622868920693e-10
3.321299638989169694e+02	3.148367715128626287e-10
3.465703971119133371e+02	2.437287045681301558e-10
3.610108303249097048e+02	1.906647718571268887e-10
3.754512635379061294e+02	1.505972102282835031e-10
3.898916967509024971e+02	1.200126689772177565e-10
4.043321299638988648e+02	9.643103620670921718e-11
4.187725631768952894e+02	7.807858689791465046e-11
4.332129963898916571e+02	6.367135019951861544e-11
4.476534296028880817e+02	5.226936493957525698e-11
4.620938628158844494e+02	4.317725450999120583e-11
4.765342960288808172e+02	3.587551631057013682e-11
4.909747292418772417e+02	2.997245957948167411e-11
5.054151624548736095e+02	2.517020370730549442e-11
5.198555956678700340e+02	2.124036679112131883e-11
5.342960288808664018e+02	1.800650832573737419e-11
5.487364620938627695e+02	1.533132980712605652e-11
5.631768953068591372e+02	1.310726071342637164e-11
5.776173285198556187e+02	1.124947613861796371e-11
5.920577617328519864e+02	9.690676702324715760e-12
6.064981949458483541e+02	8.377156479643126545e-12
6.209386281588447218e+02	7.265819901616737609e-12
6.353790613718410896e+02	6.321903183503113539e-12
6.498194945848374573e+02	5.517222601082823122e-12
6.642599277978339387e+02	4.828819480505571699e-12
6.787003610108303064e+02	4.237905878215009617e-12
6.931407942238266742e+02	3.729039610062601466e-12
7.075812274368230419e+02	3.289475264431299846e-12
7.220216606498194096e+02	2.908651030592939219e-12
7.364620938628158910e+02	2.577780918872053037e-12
7.509025270758122588e+02	2.289529196364214639e-12
7.653429602888086265e+02	2.037749282707548447e-12
7.797833935018049942e+02	1.817273431423627707e-12
7.942238267148013620e+02	1.623742609313356968e-12
8.086642599277977297e+02	1.453468336994421914e-12
8.231046931407942111e+02	1.303320050749260414e-12
8.375451263537905788e+02	1.170632928604876034e-12
8.519855595667869466e+02	1.053132191153914480e-12
8.664259927797833143e+02	9.488707166321781067e-13
8.808664259927796820e+02	8.561774561828133238e-13
8.953068592057761634e+02	7.736146417677709436e-13
9.097472924187725312e+02	6.999421765814554199e-13
9.241877256317688989e+02	6.340879132507947277e-13
9.386281588447652666e+02	5.751227734321585787e-13
9.530685920577616344e+02	5.222398614213529730e-13
9.675090252707581158e+02	4.747368823787310332e-13
9.819494584837544835e+02	4.320013031144626076e-13
9.963898916967508512e+02	3.934977953355564267e-13
1.010830324909747219e+03	3.587575836761686946e-13
1.025270758122743700e+03	3.273693877940295351e-13
1.039711191335740068e+03	2.989717017213060156e-13
1.054151624548736436e+03	2.732461980786708260e-13
1.068592057761732804e+03	2.499120808117779800e-13
1.083032490974729171e+03	2.287212394902259033e-13
1.097472924187725539e+03	2.094540827440126010e-13
1.111913357400721907e+03	1.919159484030729114e-13
1.126353790613718274e+03	1.759340042680865149e-13
1.140794223826714642e+03	1.613545673577639009e-13
1.155234657039711237e+03	1.480407807733561450e-13
1.169675090252707605e+03	1.358705967473895907e-13
1.184115523465703973e+03	1.247350224415631693e-13
1.198555956678700340e+03	1.145365915795827196e-13
1.212996389891696708e+03	1.051880306393108817e-13
1.227436823104693076e+03	9.661109285446899966e-14
1.241877256317689444e+03	8.873553731180823914e-14
1.256317689530685811e+03	8.149823370697826901e-14
1.270758122743682179e+03	7.484237605635502504e-14
1.285198555956678547e+03	6.871679108819515401e-14
1.299638989169674915e+03	6.307532905264877514e-14
1.314079422382671510e+03	5.787632634334121459e-14
1.328519855595667877e+03	5.308213085088412300e-14
1.342960288808664245e+03	4.865868211243342456e-14
1.357400722021660613e+03	4.457513950764169448e-14
1.371841155234656981e+03	4.080355255807835820e-14
1.386281588447653348e+03	3.731856819260520960e-14
1.400722021660649716e+03	3.409717056977408062e-14
1.415162454873646084e+03	3.111844952692963100e-14
1.429602888086642452e+03	2.836339431449722778e-14
1.444043321299638819e+03	2.581470964821639359e-14
1.458483754512635187e+03	2.345665149645996339e-14
1.472924187725631782e+03	2.127488035518834826e-14
1.487364620938628150e+03	1.925633002913476894e-14
1.501805054151624518e+03	1.738909018418201226e-14
1.516245487364620885e+03	1.566230114688349801e-14
1.530685920577617253e+03	1.406605960388163871e-14
1.545126353790613621e+03	1.259133404274540427e-14
1.559566787003609988e+03	1.122988887014942539e-14
1.574007220216606356e+03	9.974216304041560492e-15
1.588447653429602724e+03	8.817475240786578654e-15
1.602888086642599092e+03	7.753436361635863904e-15
1.617328519855595459e+03	6.776432861396289943e-15
1.631768953068592054e+03	5.881316250082151748e-15
1.646209386281588422e+03	5.063416720110017250e-15
1.660649819494584790e+03	4.318507652234467118e-15
1.675090252707581158e+03	3.642773873359477682e-15
1.689530685920577525e+03	3.032783334242213647e-15
1.703971119133573893e+03	2.485461900874853464e-15
1.718411552346570261e+03	1.998071001807752429e-15
1.732851985559566629e+03	1.568187900706421520e-15
1.747292418772562996e+03	1.193688392965817405e-15
1.761732851985559364e+03	8.727317537279647122e-16
1.776173285198555959e+03	6.037477847979058697e-16
1.790613718411552327e+03	3.854258327356518767e-16
1.805054151624548695e+03	2.167056733007048779e-16
1.819494584837545062e+03	9.677016964832611573e-17
1.833935018050541430e+03	2.503963339181518890e-17
1.848375451263537798e+03	5.839183231002100281e-19
