# Frequency (Hz)	PSD (Amplitude^2/Hz)
0.000000000000000000e+00	8.034412620030263463e-01
2.406738868832731804e+00	3.747009037453056024e+00
4.813477737665463607e+00	1.453437718767518261e+00
7.220216606498195411e+00	4.264437150280692701e-01
9.626955475330927214e+00	2.294224039401527304e-01
1.203369434416365991e+01	1.043811424932206272e-01
1.444043321299639082e+01	5.479659905609272907e-02
1.684717208182912174e+01	3.859756893188523441e-02
1.925391095066185443e+01	2.711330799736860059e-02
2.166064981949458712e+01	1.006074548685617458e-02
2.406738868832731981e+01	1.953337472432034767e-03
2.647412755716004895e+01	2.020839555348141520e-04
2.888086642599278164e+01	1.436994860923980507e-05
3.128760529482551433e+01	7.501702650844276468e-06
3.369434416365824347e+01	3.881267534559854659e-06
3.610108303249097617e+01	1.374681620421903060e-06
3.850782190132370886e+01	2.756213946616196090e-07
4.091456077015644155e+01	8.277705248257710720e-08
4.332129963898917424e+01	3.727449183017402811e-08
4.572803850782190693e+01	2.506652633729981542e-08
4.813477737665463962e+01	1.504052839862516365e-08
5.054151624548736521e+01	1.079515741648454718e-08
5.294825511432009790e+01	6.769933579749558075e-09
5.535499398315283059e+01	5.119309111595419790e-09
5.776173285198556329e+01	3.853580690727638335e-09
6.016847172081829598e+01	3.095444190116431116e-09
6.257521058965102867e+01	2.434915334833781060e-09
6.498194945848375426e+01	1.908190185537937577e-09
6.738868832731648695e+01	1.548662732641530632e-09
6.979542719614921964e+01	1.238814712978259947e-09
7.220216606498195233e+01	1.016550113005482219e-09
7.460890493381468502e+01	8.312544280369030045e-10
7.701564380264741771e+01	6.885961226161408366e-10
7.942238267148015041e+01	5.698038631251868580e-10
8.182912154031288310e+01	4.762647864185119553e-10
8.423586040914561579e+01	3.993994761839463241e-10
8.664259927797834848e+01	3.374689116650658499e-10
8.904933814681108117e+01	2.855084238155685532e-10
9.145607701564381387e+01	2.432374101645781513e-10
9.386281588447654656e+01	2.079322302467976149e-10
9.626955475330927925e+01	1.782410988890404588e-10
9.867629362214199773e+01	1.536095761311984327e-10
1.010830324909747304e+02	1.327235052657016141e-10
1.034897713598074631e+02	1.151008999043190213e-10
1.058965102286401958e+02	1.001045464056788885e-10
1.083032490974729285e+02	8.737709129272826571e-11
1.107099879663056612e+02	7.644245991314445382e-11
1.131167268351383939e+02	6.708154553249945420e-11
1.155234657039711266e+02	5.901818271966503766e-11
1.179302045728038593e+02	5.205906923240585202e-11
1.203369434416365920e+02	4.601957666219956923e-11
1.227436823104693246e+02	4.078364705056387597e-11
1.251504211793020573e+02	3.621959219073023522e-11
1.275571600481347900e+02	3.223034578233760727e-11
1.299638989169675085e+02	2.874282390698291730e-11
1.323706377858002554e+02	2.567917286873017166e-11
1.347773766546329739e+02	2.298445003519169908e-11
1.371841155234657208e+02	2.060819468037351019e-11
1.395908543922984393e+02	1.850934256115039731e-11
1.419975932611311862e+02	1.664995388256592901e-11
1.444043321299639047e+02	1.500087946597089497e-11
1.468110709987966516e+02	1.353469002615270645e-11
1.492178098676293700e+02	1.222893343425003448e-11
1.516245487364621169e+02	1.106367493855246038e-11
1.540312876052948354e+02	1.002237782249739081e-11
1.564380264741275539e+02	9.090012730479038709e-12
1.588447653429603008e+02	8.253805860804699778e-12
1.612515042117930193e+02	7.502827455590418171e-12
1.636582430806257662e+02	6.827174446593048664e-12
1.660649819494584847e+02	6.218500473155447091e-12
1.684717208182912316e+02	5.669338019579804347e-12
1.708784596871239501e+02	5.173208563382724806e-12
1.732851985559566970e+02	4.724347784267778523e-12
1.756919374247894154e+02	4.317757855678004350e-12
1.780986762936221623e+02	3.948969788621562564e-12
1.805054151624548808e+02	3.614077996114999176e-12
1.829121540312876277e+02	3.309593470571091049e-12
1.853188929001203462e+02	3.032447682471098866e-12
1.877256317689530931e+02	2.779902456763938768e-12
1.901323706377858116e+02	2.549524959038700150e-12
1.925391095066185585e+02	2.339156280217991590e-12
1.949458483754512770e+02	2.146861851124487278e-12
