# Frequency (Hz)	Amplitude
0.000000000000000000e+00	2.929846945698707517e-01
2.666631250470371736e-02	2.908361342658415616e+00
5.333262500940743472e-02	2.501720002806004040e+00
7.999893751411114862e-02	2.680691709471501039e+00
1.066652500188148694e-01	3.224708163016344109e+00
1.333315625235185764e-01	4.582253111638217469e+00
1.599978750282222972e-01	1.088472372956611522e+01
1.866641875329260181e-01	1.340904172196909094e+01
2.133305000376297389e-01	6.056568346954922966e+00
2.399968125423334597e-01	3.361707433423493985e+00
2.666631250470371528e-01	1.903224418768183934e+00
2.933294375517409014e-01	1.585089119500078469e+00
3.199957500564445945e-01	1.486705589016644513e+00
3.466620625611483431e-01	4.562595392785349646e-01
3.733283750658520361e-01	7.634513091483569047e-01
3.999946875705557847e-01	6.092822770915952146e-01
4.266610000752594778e-01	8.213646656085211717e-01
4.533273125799631709e-01	3.611858749360397081e-01
4.799936250846669195e-01	2.585888095788131946e-01
5.066599375893706680e-01	6.740337283952428926e-01
5.333262500940743056e-01	4.722684461006581430e-02
5.599925625987780542e-01	5.108687408281268327e-01
5.866588751034818028e-01	2.455417449079684844e-01
6.133251876081855514e-01	1.677266692121440195e-01
6.399915001128891889e-01	3.191904551808895651e-01
6.666578126175929375e-01	2.509589683991482745e-01
6.933241251222966861e-01	1.922807489853965712e-01
7.199904376270003237e-01	2.726983400511443500e-01
7.466567501317040723e-01	2.840357468660769658e-01
7.733230626364078208e-01	1.499048166684852912e-01
7.999893751411115694e-01	1.814163108771677246e-01
8.266556876458152070e-01	1.799890651138853770e-01
8.533220001505189556e-01	1.148208852033849869e-01
8.799883126552227042e-01	1.780087399472796705e-01
9.066546251599263417e-01	1.970565372529123338e-01
9.333209376646300903e-01	1.520220034985756141e-01
9.599872501693338389e-01	3.669312914159705147e-02
9.866535626740375875e-01	8.904066232090430966e-02
1.013319875178741336e+00	1.617777850007513507e-01
1.039986187683445085e+00	1.105587594751488295e-01
1.066652500188148611e+00	5.287525941143141062e-02
1.093318812692852360e+00	1.262559748321458453e-01
1.119985125197556108e+00	7.402758471209931745e-02
1.146651437702259857e+00	7.224147379118364687e-02
1.173317750206963606e+00	2.526139289672063581e-02
1.199984062711667354e+00	7.153084775243406801e-02
1.226650375216371103e+00	7.973077736680109218e-02
1.253316687721074629e+00	3.433121164888923438e-02
1.279983000225778378e+00	2.279784810577651852e-02
1.306649312730482126e+00	1.292807228783075246e-01
1.333315625235185875e+00	1.069382321532068580e-01
1.359981937739889624e+00	7.638041394802157213e-02
1.386648250244593372e+00	8.413963281191792765e-02
1.413314562749297121e+00	4.887762811643161370e-02
1.439980875254000647e+00	6.496373927740116405e-02
1.466647187758704396e+00	1.599899371393754266e-01
1.493313500263408145e+00	1.836200049839659468e-02
1.519979812768111893e+00	4.917296722144885029e-02
1.546646125272815642e+00	2.983052329753658680e-02
1.573312437777519390e+00	3.671050192222101438e-02
1.599978750282223139e+00	6.258005825925677668e-02
1.626645062786926665e+00	9.185004292295430306e-02
1.653311375291630414e+00	7.835624083446919574e-02
1.679977687796334163e+00	2.687559219230364893e-02
1.706644000301037911e+00	6.412410751208873216e-02
1.733310312805741660e+00	7.088033397942541947e-02
1.759976625310445408e+00	5.807862876726609808e-02
1.786642937815149157e+00	9.362317392120822479e-02
1.813309250319852683e+00	1.452174327897058637e-01
1.839975562824556432e+00	1.206833452142006963e-01
1.866641875329260181e+00	5.511998663306875296e-02
1.893308187833963929e+00	3.101737154060956944e-03
1.919974500338667678e+00	1.093858194934285016e-02
1.946640812843371426e+00	5.224821577377985332e-02
1.973307125348075175e+00	1.900777102798557605e-01
1.999973437852778702e+00	1.806668155441658874e-01
2.026639750357482672e+00	2.311947142640438380e-01
2.053306062862186199e+00	2.168231986729931282e-01
2.079972375366890169e+00	1.179922000431781054e-01
2.106638687871593696e+00	7.236515322156715502e-02
2.133305000376297222e+00	1.740091743822276826e-01
2.159971312881001193e+00	1.018106492586907108e-01
2.186637625385704720e+00	9.172733557555881601e-02
2.213303937890408690e+00	9.706216390409580508e-02
2.239970250395112217e+00	5.598286272484764847e-02
2.266636562899816187e+00	8.742739447895998828e-02
2.293302875404519714e+00	5.774196338435675854e-03
2.319969187909223240e+00	2.497599112581908032e-02
2.346635500413927211e+00	4.823394955647762605e-02
2.373301812918630738e+00	5.362023967207723424e-02
2.399968125423334708e+00	5.809894904166110902e-02
2.426634437928038235e+00	9.249530772267178236e-02
2.453300750432742205e+00	1.434131494101706650e-01
2.479967062937445732e+00	6.506561878047555092e-02
2.506633375442149259e+00	3.919029880539580402e-02
2.533299687946853229e+00	4.261961094830481189e-02
2.559966000451556756e+00	5.538931600633437147e-02
2.586632312956260726e+00	4.606824406261005728e-02
2.613298625460964253e+00	4.645135062177333657e-02
2.639964937965668224e+00	5.932582786232555583e-02
2.666631250470371750e+00	5.557253997609168383e-02
2.693297562975075277e+00	3.483743056038875879e-02
2.719963875479779247e+00	5.528850182423460102e-02
2.746630187984482774e+00	5.341625726505745686e-02
2.773296500489186744e+00	2.716661876921454624e-02
2.799962812993890271e+00	3.968371966374330262e-02
2.826629125498594242e+00	2.583067822958558246e-02
2.853295438003297768e+00	3.139516813580530558e-02
2.879961750508001295e+00	2.186226070255755868e-02
2.906628063012705265e+00	1.539274412978106424e-02
2.933294375517408792e+00	3.433129691226382164e-03
2.959960688022112762e+00	1.022238633487903767e-02
2.986627000526816289e+00	2.043072738294947691e-02
3.013293313031520260e+00	2.024477518174894186e-02
3.039959625536223786e+00	3.099518590069316737e-02
3.066625938040927313e+00	2.622315496206121740e-02
3.093292250545631283e+00	2.344454988549119281e-02
3.119958563050334810e+00	2.312219160635175033e-02
3.146624875555038781e+00	2.345360311370821987e-02
3.173291188059742307e+00	4.189704943154794192e-02
3.199957500564446278e+00	1.877544707335962113e-02
3.226623813069149804e+00	1.777996213147973667e-02
3.253290125573853331e+00	1.668999954599456256e-02
3.279956438078557301e+00	1.646898217651190585e-02
3.306622750583260828e+00	1.720019287101281699e-02
3.333289063087964799e+00	1.889864146968387934e-02
3.359955375592668325e+00	3.456880680564905495e-02
3.386621688097372296e+00	3.217065931453832323e-02
3.413288000602075822e+00	1.079482351031919689e-02
3.439954313106779349e+00	1.635736431693702100e-02
3.466620625611483320e+00	9.695338504993392115e-03
3.493286938116186846e+00	7.821774731872762135e-03
3.519953250620890817e+00	3.726358661179693388e-02
3.546619563125594343e+00	7.579863614654471470e-03
3.573285875630298314e+00	2.080211723310255306e-02
3.599952188135001840e+00	3.015832089071565983e-02
3.626618500639705367e+00	2.753344811842808881e-02
3.653284813144409338e+00	2.641614332595406886e-02
3.679951125649112864e+00	1.687974504283937596e-02
3.706617438153816835e+00	6.042076416779951220e-03
3.733283750658520361e+00	1.174615231933898163e-02
3.759950063163224332e+00	1.120556874771035799e-02
3.786616375667927858e+00	1.621817584322517158e-02
3.813282688172631385e+00	1.127632413771163279e-02
3.839949000677335356e+00	1.368018601709728756e-02
3.866615313182038882e+00	2.416658041932932821e-02
3.893281625686742853e+00	2.331175365657211715e-02
3.919947938191446379e+00	1.818065544606687137e-02
3.946614250696150350e+00	9.185052572348180108e-03
3.973280563200853877e+00	4.516021040466570990e-02
3.999946875705557403e+00	1.918759942324245113e-02
4.026613188210260930e+00	2.654052357849357585e-02
4.053279500714965344e+00	2.657593591066019847e-02
4.079945813219668871e+00	2.493624678494622479e-02
4.106612125724372397e+00	1.104333836543088844e-02
4.133278438229075924e+00	1.003851563794048302e-02
4.159944750733780339e+00	8.680203433671613428e-03
4.186611063238483865e+00	8.284328351644247232e-03
4.213277375743187392e+00	1.240851034307959184e-02
4.239943688247890918e+00	1.447110879747080629e-02
4.266610000752594445e+00	1.009132559392910029e-02
4.293276313257298860e+00	1.242174370987788636e-02
4.319942625762002386e+00	2.044747669650808994e-02
4.346608938266705913e+00	2.249054912769691411e-02
4.373275250771409439e+00	1.716333051648310723e-02
