x	zg centrado sin panza
0.000778908	3.706480929
0.00129818	3.53713317
0.001817451	3.447744387
0.002336723	3.460511869
0.002855994	3.581027297
0.003375266	3.660332852
0.003894537	3.566416478
0.004413809	3.3686125
0.00493308	3.390438492
0.005452352	3.463584392
0.005971623	3.509835917
0.006490895	3.497037164
0.007010166	3.425854651
0.007529438	3.462001599
0.008048709	3.465914021
0.008567981	3.535789324
0.009087252	3.643537259
0.009606524	3.52595717
0.010125796	3.402429144
0.010645067	3.379695791
0.011164339	3.387466689
0.01168361	3.409511138
0.012202882	3.373785926
0.012722153	3.297747719
0.013241425	3.390483461
0.013760696	3.241793505
0.014279968	3.159415258
0.014799239	3.242454256
0.015318511	3.227078466
0.015837782	3.341829639
0.016357054	3.285002157
0.016876325	3.155585968
0.017395597	3.196866842
0.017914868	3.109381874
0.01843414	3.088405917
0.018953411	3.156729212
0.019472683	2.986416055
0.019991954	3.023937183
0.020511226	3.081819173
0.021030497	3.019405229
0.021549769	3.025161234
0.02206904	2.78767907
0.022588312	2.558385766
0.023107583	2.562754036
0.023626855	2.161894446
0.024146126	2.371062508
0.024665398	2.344075006
0.025184669	2.363363528
0.025703941	2.297455997
0.026223212	2.70130791
0.026742484	2.947048826
0.027261755	2.92812925
0.027781027	2.404525159
0.028300298	2.591060991
0.02881957	2.456892702
0.029338841	2.154729467
0.029858113	2.005886819
0.030377385	1.988945817
0.030896656	2.121334062
0.031415928	2.167655358
0.031935199	2.050149329
0.032454471	2.004045376
0.032973742	1.978770942
0.033493014	2.069992746
0.034012285	2.157391824
0.034531557	1.841621795
0.035050828	1.732751901
0.0355701	1.712814802
0.036089371	1.498792799
0.036608643	1.536023013
0.037127914	1.631664938
0.037647186	1.644369841
0.038166457	1.715307936
0.038685729	1.642310521
0.039205	1.645541193
0.039724272	1.634562407
0.040243543	1.004915159
0.040762815	0.976233498
0.041282086	0.902860643
0.041801358	0.859081014
0.042320629	0.940479009
0.042839901	1.008633633
0.043359172	1.051629315
0.043878444	0.971304535
0.044397715	0.657305829
0.044916987	0.779616907
0.045436258	0.748573912
0.04595553	0.753723087
0.046474801	0.743443893
0.046994073	0.165030055
0.047513344	0.032075166
0.048032616	0.049524937
0.048551887	0.309810755
0.049071159	0.522616775
0.04959043	0.311221326
0.050109702	0.033680867
0.050628974	0.098615506
0.051148245	-0.108105733
0.051667517	-0.271356111
0.052186788	-0.307964057
0.05270606	-0.364095351
0.053225331	-0.298089089
0.053744603	-0.280842745
0.054263874	-0.261691911
0.054783146	-0.145973556
0.055302417	-0.478530294
0.055821689	-0.536950645
0.05634096	-0.601095211
0.056860232	-0.752210766
0.057379503	-0.807231662
0.057898775	-0.911311887
0.058418046	-0.916674842
0.058937318	-0.826315154
0.059456589	-1.104988989
0.059975861	-1.060754643
0.060495132	-1.043902518
0.061014404	-1.132919596
0.061533675	-1.115773108
0.062052947	-1.115797279
0.062572218	-1.083307829
0.06309149	-1.04433089
0.063610761	-1.171303149
0.064130033	-1.075836485
0.064649304	-1.109289594
0.065168576	-1.342973024
0.065687847	-1.330441961
0.066207119	-1.558196029
0.06672639	-1.774231418
0.067245662	-1.812988417
0.067764933	-2.039895539
0.068284205	-1.914053851
0.068803476	-1.850566539
0.069322748	-1.800431463
0.069842019	-1.817943169
0.070361291	-2.186387287
0.070880563	-2.294674724
0.071399834	-2.186086729
0.071919106	-2.342433871
0.072438377	-2.195048983
0.072957649	-2.179576707
0.07347692	-2.111767785
0.073996192	-2.15667901
0.074515463	-2.239992656
0.075034735	-2.312838593
0.075554006	-2.342593305
0.076073278	-2.360628997
0.076592549	-2.190110964
0.077111821	-2.237741605
0.077631092	-2.45088382
0.078150364	-2.435708081
0.078669635	-2.335928244
0.079188907	-2.146859176
0.079708178	-2.022420316
0.08022745	-1.83250802
0.080746721	-1.989012633
0.081265993	-2.154075082
0.081785264	-2.333702182
0.082304536	-2.387335606
0.082823807	-2.429736057
0.083343079	-2.424827112
0.08386235	-2.358209794
0.084381622	-2.512436597
0.084900893	-2.226689849
0.085420165	-2.295594044
0.085939436	-2.382947191
0.086458708	-2.46411747
0.086977979	-2.421558359
0.087497251	-2.434739091
0.088016522	-2.527690686
0.088535794	-2.6729873
0.089055065	-2.423382788
0.089574337	-2.438143884
0.090093609	-2.543338623
0.09061288	-2.56424817
0.091132152	-2.520780855
0.091651423	-2.579497287
0.092170695	-2.594122274
0.092689966	-2.309242416
0.093209238	-2.296341008
0.093728509	-2.34517782
0.094247781	-2.294757345
0.094767052	-2.191555802
0.095286324	-2.689732637
0.095805595	-2.783108576
0.096324867	-2.809397818
0.096844138	-3.019110861
0.09736341	-2.999434144
0.097882681	-2.867257964
0.098401953	-2.810428084
0.098921224	-2.759433947
0.099440496	-2.772311278
0.099959767	-2.808310098
0.100479039	-2.765626761
