# Frequency (Hz)	Transfer Amplitude
0.000000000000000000e+00	2.041563592730562426e+00
2.857060748533175182e-02	1.246127834477656071e+00
5.714121497066350364e-02	1.122358573353331002e+00
8.571182245599526239e-02	3.101050898764261543e-01
1.142824299413270073e-01	8.742872246863118979e-02
1.428530374266587522e-01	9.531203996293120817e-02
1.714236449119905248e-01	5.445681870687169024e-01
1.999942523973222697e-01	4.654929562972006662e-01
2.285648598826540145e-01	4.148089723387862748e-02
2.571354673679857594e-01	1.136149646434431726e-01
2.857060748533175043e-01	1.458616618872231319e-01
3.142766823386492492e-01	7.287261783549531247e-02
3.428472898239810496e-01	1.598712607926293106e-01
3.714178973093127945e-01	1.795353945971820409e-01
3.999885047946445393e-01	1.492460511946679114e-01
4.285591122799762842e-01	5.532116010095783354e-02
4.571297197653080291e-01	3.976727272347925779e-01
4.857003272506397740e-01	9.057932500872231674e-02
5.142709347359715188e-01	2.196754610200111757e-01
5.428415422213033192e-01	7.698663170777374221e-02
5.714121497066350086e-01	4.058256767238729856e-01
5.999827571919668090e-01	9.046538220632288629e-02
6.285533646772984984e-01	4.707595568549221426e-02
6.571239721626302988e-01	4.593164708530952239e-02
6.856945796479620991e-01	1.784286882913449501e-02
7.142651871332937885e-01	3.596730863832202363e-02
7.428357946186255889e-01	3.217202110786740454e-02
7.714064021039572783e-01	4.082026009846219383e-02
7.999770095892890787e-01	9.878456500527710293e-02
8.285476170746207680e-01	6.127674926288726592e-02
8.571182245599525684e-01	1.477893725445598716e-01
8.856888320452842578e-01	2.566646803432680590e-01
9.142594395306160582e-01	1.764970965425888272e-01
9.428300470159478586e-01	4.818894796735577468e-02
9.714006545012795479e-01	9.385913145864623053e-02
9.999712619866113483e-01	1.147814978975511963e-01
1.028541869471943038e+00	4.554146543352840387e-02
1.057112476957274838e+00	3.663918681825583112e-01
1.085683084442606638e+00	3.843378930808000887e-02
1.114253691927938217e+00	4.178313801006446060e-02
1.142824299413270017e+00	2.102917516657061836e-01
1.171394906898601818e+00	1.030880946076857818e-01
1.199965514383933618e+00	6.523817341840264239e-02
1.228536121869265418e+00	7.173320362956732421e-02
1.257106729354596997e+00	4.989543041602426815e-02
1.285677336839928797e+00	1.779101585497891713e-01
1.314247944325260598e+00	1.033111749891889863e-01
1.342818551810592398e+00	1.062017396938312458e-01
1.371389159295924198e+00	1.266679970594886961e-01
1.399959766781255777e+00	1.105278631061027833e-01
1.428530374266587577e+00	1.240599008736779224e-01
1.457100981751919377e+00	1.103412818156190717e-01
1.485671589237251178e+00	2.232027720771212476e-01
1.514242196722582756e+00	3.791266653290154692e-02
1.542812804207914557e+00	5.089358110046375561e-02
1.571383411693246357e+00	7.045724790921470415e-02
1.599954019178578157e+00	9.299279766316456697e-02
1.628524626663909958e+00	8.582408414446031364e-02
1.657095234149241536e+00	4.839672421489419479e-02
1.685665841634573336e+00	4.027047360749071159e-02
1.714236449119905137e+00	8.738856905050321200e-02
1.742807056605236937e+00	5.043138985855588619e-02
1.771377664090568516e+00	7.094623478532348371e-02
1.799948271575900316e+00	3.977334800098053513e-02
1.828518879061232116e+00	1.181069641309221985e-01
1.857089486546563917e+00	4.350965541585999352e-02
1.885660094031895717e+00	3.828798674673599550e-02
1.914230701517227295e+00	9.314777110504948721e-02
1.942801309002559096e+00	7.998937267810170282e-02
1.971371916487890896e+00	7.356884672062123653e-02
1.999942523973222697e+00	3.708389385479817640e-02
2.028513131458554497e+00	4.014185980949797755e-02
2.057083738943886075e+00	9.487532393746375692e-02
2.085654346429218098e+00	4.784183912753568746e-02
2.114224953914549676e+00	3.908508768406411538e-02
2.142795561399881255e+00	5.725799959606832357e-02
2.171366168885213277e+00	4.747823478067297875e-02
2.199936776370544855e+00	1.135770428270984345e-01
2.228507383855876434e+00	1.116070104684007358e+00
2.257077991341208456e+00	4.295543980235472931e-02
2.285648598826540034e+00	1.669014964838059500e-01
2.314219206311872057e+00	3.534580936474829987e-02
2.342789813797203635e+00	3.356197620576065882e-02
2.371360421282535214e+00	9.852621621321693002e-02
2.399931028767867236e+00	7.126232104858978844e-02
2.428501636253198814e+00	4.387966573842917717e-02
2.457072243738530837e+00	8.056056498723852821e-02
2.485642851223862415e+00	7.076369934632883996e-02
2.514213458709193993e+00	5.250614810105864311e-02
2.542784066194526016e+00	5.616680840283588827e-02
2.571354673679857594e+00	3.900629106039541633e-02
2.599925281165189617e+00	2.555334157740406509e-01
2.628495888650521195e+00	5.878553934076880677e-02
2.657066496135852773e+00	4.716505847469980306e-02
2.685637103621184796e+00	3.039126478725101208e-02
2.714207711106516374e+00	3.424989766241564454e-02
2.742778318591848397e+00	5.572584101610273538e-02
2.771348926077179975e+00	3.310925099870838662e-02
2.799919533562511553e+00	5.192745065542176547e-02
2.828490141047843576e+00	2.895458521510293690e-02
2.857060748533175154e+00	4.670953817944587666e-02
2.885631356018506732e+00	4.915184320101708554e-02
2.914201963503838755e+00	7.892587429153470613e-02
2.942772570989170333e+00	5.173937728042071749e-02
2.971343178474502356e+00	5.536798993058551777e-02
2.999913785959833934e+00	5.057513674625030431e-02
3.028484393445165512e+00	6.184149395369276797e-02
3.057055000930497535e+00	4.608602975932100249e-02
3.085625608415829113e+00	6.645625620986836402e-02
3.114196215901161136e+00	1.448616307317621144e-01
3.142766823386492714e+00	1.216465211205006863e-02
3.171337430871824292e+00	1.973732909051907902e-01
3.199908038357156315e+00	6.987857260698984718e-02
3.228478645842487893e+00	4.755696294901368137e-02
3.257049253327819915e+00	3.468203583627423037e-02
3.285619860813151494e+00	5.605047370297761011e-02
3.314190468298483072e+00	4.314235083497234419e-02
3.342761075783815095e+00	2.442129923428001947e-02
3.371331683269146673e+00	6.091095660301808906e-02
3.399902290754478251e+00	1.091668148115464421e-01
3.428472898239810274e+00	4.474834843956507213e-02
3.457043505725141852e+00	1.941496137320795901e-02
3.485614113210473874e+00	1.928175382258622006e-02
3.514184720695805453e+00	4.205622407114757710e-02
3.542755328181137031e+00	4.399391974806032835e-02
3.571325935666469054e+00	2.993224174758192177e-02
3.599896543151800632e+00	3.715067272393056397e-02
3.628467150637132654e+00	2.488784034022431882e-02
3.657037758122464233e+00	6.615162147430692086e-02
3.685608365607795811e+00	5.774145172916010649e-02
3.714178973093127833e+00	2.479951633683716294e-02
3.742749580578459412e+00	3.881495865061736217e-02
3.771320188063791434e+00	7.704597174257832304e-02
3.799890795549123013e+00	4.765901604410270609e-02
3.828461403034454591e+00	1.018392603120601841e-01
3.857032010519786613e+00	4.853003812312310650e-02
3.885602618005118192e+00	3.250903586489874847e-02
3.914173225490450214e+00	6.252732713651593111e-02
3.942743832975781793e+00	1.411192292222826494e-01
3.971314440461113371e+00	2.180007011408766765e-02
3.999885047946445393e+00	4.976758014156288518e-02
4.028455655431777416e+00	1.709325715576903992e-01
4.057026262917108994e+00	5.940113134239560777e-02
4.085596870402440572e+00	2.315159914982593478e-02
4.114167477887772151e+00	2.627171920683377127e-02
4.142738085373103729e+00	5.849544978337507806e-02
4.171308692858436196e+00	8.526829320773451903e-02
4.199879300343767774e+00	2.871074866284588009e-02
4.228449907829099352e+00	7.041571766202660287e-02
4.257020515314430931e+00	6.927244064857981942e-02
4.285591122799762509e+00	5.193784826992267623e-02
4.314161730285094087e+00	7.439362398475492244e-02
4.342732337770426554e+00	3.278655084807116649e-02
4.371302945255758132e+00	2.877408344741889251e-02
