# Frequency (Hz)	Transfer Amplitude
0.000000000000000000e+00	1.258347077436879347e-01
2.666631250470371736e-02	1.794644506704240916e+00
5.333262500940743472e-02	1.232395412406261048e+00
7.999893751411114862e-02	1.464582116906804954e+00
1.066652500188148694e-01	9.423628379406451261e-01
1.333315625235185764e-01	1.575370096989412882e+00
1.599978750282222972e-01	1.550608395727910871e+00
1.866641875329260181e-01	5.619044387346950886e-01
2.133305000376297389e-01	4.356496390014624187e-01
2.399968125423334597e-01	1.650215661328187922e-01
2.666631250470371528e-01	3.295364089943722541e-02
2.933294375517409014e-01	3.915031879964944728e-02
3.199957500564445945e-01	4.240339582754715231e-02
3.466620625611483431e-01	7.592788464072830999e-03
3.733283750658520361e-01	6.811446893460400276e-02
3.999946875705557847e-01	1.714314539029785645e-01
4.266610000752594778e-01	2.482081078797877469e-02
4.533273125799631709e-01	1.535781268436481849e-02
4.799936250846669195e-01	1.943293394145565595e-02
5.066599375893706680e-01	8.060553579584979478e-02
5.333262500940743056e-01	1.822979944788489810e-03
5.599925625987780542e-01	4.667243839733335731e-02
5.866588751034818028e-01	9.988683617192468944e-03
6.133251876081855514e-01	9.976809382860446149e-03
6.399915001128891889e-01	1.742644797362652431e-02
6.666578126175929375e-01	2.400498988271231385e-02
6.933241251222966861e-01	2.254531586736599133e-02
7.199904376270003237e-01	2.866899225769920997e-02
7.466567501317040723e-01	1.300386097349480637e-02
7.733230626364078208e-01	9.740507212716372973e-03
7.999893751411115694e-01	1.536565650863182773e-02
8.266556876458152070e-01	7.923895353711764983e-03
8.533220001505189556e-01	6.703631144626034065e-03
8.799883126552227042e-01	9.594379605404658798e-03
9.066546251599263417e-01	7.181598324963985383e-03
9.333209376646300903e-01	1.380071375312175858e-02
9.599872501693338389e-01	2.703389411283217171e-03
9.866535626740375875e-01	5.729952185520467874e-03
1.013319875178741336e+00	9.350823592738727319e-03
1.039986187683445085e+00	8.106414442303982656e-03
1.066652500188148611e+00	2.739117508812890373e-03
1.093318812692852360e+00	1.024866141231536680e-02
1.119985125197556108e+00	5.543484356936221463e-03
1.146651437702259857e+00	4.118816616608539372e-03
1.173317750206963606e+00	1.722115087503456494e-03
1.199984062711667354e+00	6.014436522885150717e-03
1.226650375216371103e+00	1.119849704275717103e-02
1.253316687721074629e+00	2.195556106333143576e-02
1.279983000225778378e+00	6.646404368031840100e-03
1.306649312730482126e+00	1.838566956223583806e-02
1.333315625235185875e+00	1.008406785786748749e-02
1.359981937739889624e+00	7.245485873871216134e-03
1.386648250244593372e+00	4.630422169401939014e-03
1.413314562749297121e+00	3.108619424913550058e-03
1.439980875254000647e+00	3.497127528277166851e-03
1.466647187758704396e+00	7.337814349530509365e-03
1.493313500263408145e+00	7.991533698139691990e-04
1.519979812768111893e+00	2.841966560106122964e-03
1.546646125272815642e+00	2.137575431199615576e-03
1.573312437777519390e+00	4.856532784991685579e-03
1.599978750282223139e+00	3.805496572923303643e-03
1.626645062786926665e+00	6.241814803954725752e-03
1.653311375291630414e+00	8.958128605594880764e-03
1.679977687796334163e+00	1.089620502080634011e-02
1.706644000301037911e+00	8.668023788713168087e-03
1.733310312805741660e+00	1.706248287928833346e-02
1.759976625310445408e+00	3.417988406673098251e-03
1.786642937815149157e+00	6.067440136632303894e-03
1.813309250319852683e+00	1.241620416011311734e-02
1.839975562824556432e+00	1.076351536863313398e-02
1.866641875329260181e+00	1.040605864427320351e-02
1.893308187833963929e+00	2.376040628883681349e-04
