x	zg centrado y sin panza
0.000778546	0.416674684
0.001297576	0.367497916
0.001816606	0.344660641
0.002335636	0.333391212
0.002854666	0.495178875
0.003373695	0.597791348
0.003892725	0.667060606
0.004411755	0.692401414
0.004930785	0.671643047
0.005449815	0.665481791
0.005968845	0.619199996
0.006487875	0.542632125
0.007006904	0.736404924
0.007525934	0.753176606
0.008044964	0.725479267
0.008563994	0.40824002
0.009083024	0.450102032
0.009602054	0.584496453
0.010121084	0.753173496
0.010640113	0.628296147
0.011159143	0.430716605
0.011678173	0.33333994
0.012197203	0.32845668
0.012716233	0.349506021
0.013235263	0.31004506
0.013754292	0.336836233
0.014273322	0.427958112
0.014792352	0.444038295
0.015311382	0.245806748
0.015830412	0.132216151
0.016349442	0.187495857
0.016868472	0.566755071
0.017387501	0.567973393
0.017906531	0.552656971
0.018425561	0.526000202
0.018944591	0.504318373
0.019463621	0.351966011
0.019982651	0.299030742
0.020501681	0.30050304
0.02102071	0.402760493
0.02153974	0.373418421
0.02205877	0.401521757
0.0225778	0.487113389
0.02309683	0.38349571
0.02361586	0.37646036
0.024134889	0.337179143
0.024653919	0.438584181
0.025172949	0.360432878
0.025691979	0.337024875
0.026211009	0.35275567
0.026730039	0.190378352
0.027249069	0.213683828
0.027768098	0.03670138
0.028287128	0.156477998
0.028806158	0.230103327
0.029325188	0.160875068
0.029844218	0.11698904
0.030363248	0.061165527
0.030882278	0.310611265
0.031401307	0.360054597
0.031920337	0.289801888
0.032439367	0.118695756
0.032958397	-0.126606879
0.033477427	0.040886641
0.033996457	0.244141548
0.034515486	0.42250245
0.035034516	0.27121484
0.035553546	0.194678258
0.036072576	0.284074489
0.036591606	0.317501021
0.037110636	0.215815651
0.037629666	0.148720902
0.038148695	0.290336273
0.038667725	0.430806087
0.039186755	0.316041747
0.039705785	0.1741407
0.040224815	-0.05247067
0.040743845	-0.064002824
0.041262875	-0.182625212
0.041781904	-0.255010953
0.042300934	-0.214548209
0.042819964	0.059690427
0.043338994	0.193888252
0.043858024	0.008704069
0.044377054	-0.374511813
0.044896084	-0.35735978
0.045415113	-0.132955403
0.045934143	-0.018715986
0.046453173	0.068295663
0.046972203	0.233634275
0.047491233	0.311732963
0.048010263	0.27292127
0.048529292	0.219877578
0.049048322	0.169002298
0.049567352	-0.011411946
0.050086382	-0.1264804
0.050605412	-0.138768284
0.051124442	-0.032107132
0.051643472	0.089633865
0.052162501	0.14966383
0.052681531	0.314400215
0.053200561	0.250947776
0.053719591	-0.051790313
0.054238621	-0.195456241
0.054757651	-0.099695863
0.055276681	-0.067911349
