x	zg centrado sin panza
0.00236285	0.995573085
0.003938084	0.786808159
0.005513318	0.871411456
0.007088551	0.776371271
0.008663785	1.026359311
0.010239018	1.335497987
0.011814252	1.29221503
0.013389486	0.96357727
0.014964719	0.853982454
0.016539953	0.732474671
0.018115186	0.599629071
0.01969042	0.815237839
0.021265654	0.884295398
0.022840887	0.878931408
0.024416121	0.949423423
0.025991354	1.14869861
0.027566588	1.224867467
0.029141822	1.183523057
0.030717055	0.681624053
0.032292289	0.719818213
0.033867522	0.522007177
0.035442756	0.678034868
0.03701799	0.820810044
0.038593223	0.538435864
0.040168457	0.576110799
0.041743691	0.713630001
0.043318924	0.551372125
0.044894158	0.549669201
0.046469391	0.383235567
0.048044625	0.51690543
0.049619859	0.656923428
0.051195092	0.324536466
0.052770326	0.433476308
0.054345559	0.565712617
0.055920793	0.668229856
0.057496027	0.621426857
0.05907126	0.258493867
0.060646494	0.11732374
0.062221727	0.154367892
0.063796961	-0.054088169
0.065372195	-0.166080513
0.066947428	-0.018769818
0.068522662	0.059352997
0.070097895	0.171064026
0.071673129	0.034298638
0.073248363	-0.077851588
0.074823596	-0.024799492
0.07639883	0.138650049
0.077974063	0.032705391
0.079549297	0.262480046
0.081124531	0.419305801
0.082699764	0.488292467
0.084274998	0.299368317
0.085850231	0.337866273
0.087425465	0.327776656
0.089000699	0.451429288
0.090575932	0.49815142
0.092151166	0.395593751
0.093726399	0.300991521
0.095301633	0.276338982
0.096876867	-0.132148626
0.0984521	-0.267362922
0.100027334	-0.092977945
0.101602567	-0.095049253
0.103177801	-0.138987074
0.104753035	-0.039427444
0.106328268	0.544522271
0.107903502	0.417114993
0.109478736	0.21849016
0.111053969	0.285198783
0.112629203	0.201888292
0.114204436	-0.103973847
0.11577967	0.004318829
0.117354904	-0.158310666
0.118930137	-0.094863257
0.120505371	-0.171979785
0.122080604	0.059131121
0.123655838	0.048184745
0.125231072	0.241587571
0.126806305	0.029654993
0.128381539	0.166259834
0.129956772	0.17111292
0.131532006	0.28827924
0.13310724	0.228334636
0.134682473	0.04890384
0.136257707	-0.135957013
0.13783294	0.04822099
0.139408174	0.191696134
0.140983408	-0.027754024
0.142558641	0.25219294
0.144133875	0.203397144
0.145709108	0.014084353
0.147284342	-0.228822835
0.148859576	-0.205966989
0.150434809	-0.001284092
0.152010043	-0.367650268
0.153585276	-0.130450179
0.15516051	-0.156981748
0.156735744	-0.537020889
0.158310977	-0.438340277
0.159886211	-0.94395969
0.161461444	-1.054943343
0.163036678	-0.868804816
0.164611912	-0.733023637
0.166187145	-0.876178761
0.167762379	-0.916043017
0.169337612	-0.944683713
0.170912846	-0.95747406
0.17248808	-0.735362628
0.174063313	-0.556371993
0.175638547	-0.854814641
0.177213781	-0.66223315
0.178789014	-0.60021705
0.180364248	-0.698518426
0.181939481	-0.985207317
0.183514715	-0.951696267
0.185089949	-0.446039881
0.186665182	-0.758429617
0.188240416	-0.780055829
0.189815649	-0.709561987
0.191390883	-0.75577937
0.192966117	-1.169939691
0.19454135	-1.095695745
0.196116584	-1.125181231
0.197691817	-1.077618621
0.199267051	-1.093980489
0.200842285	-1.042563793
0.202417518	-1.109444435
0.203992752	-1.234105972
0.205567985	-1.007135671
0.207143219	-1.014179938
0.208718453	-0.95865102
0.210293686	-0.801212762
0.21186892	-0.759087249
0.213444153	-0.735209643
0.215019387	-0.436544296
0.216594621	-0.555405512
0.218169854	-0.405366234
0.219745088	-0.529397264
0.221320321	-0.384535506
0.222895555	-0.128106781
0.224470789	-0.171178463
0.226046022	-0.023687334
0.227621256	-0.173985476
0.229196489	-0.04559857
0.230771723	0.002233813
0.232346957	0.009202441
0.23392219	0.046767819
0.235497424	0.249338354
0.237072657	0.318896019
0.238647891	0.161168924
0.240223125	-0.009570854
0.241798358	0.069503199
0.243373592	0.358161884
0.244948826	0.425020763
0.246524059	0.421495905
0.248099293	0.87366769
0.249674526	0.998260471
0.25124976	1.023377432
0.252824994	1.021595951
0.254400227	1.096344242
0.255975461	1.130506058
0.257550694	1.014148899
0.259125928	1.066169144
0.260701162	0.802979507
0.262276395	0.890365676
0.263851629	1.004291023
0.265426862	0.785932424
0.267002096	0.746697853
0.26857733	0.748531027
0.270152563	0.871967851
0.271727797	0.910702396
0.27330303	0.91277027
0.274878264	0.861343552
0.276453498	0.853475799
0.278028731	0.776300529
0.279603965	0.998562755
0.281179198	0.798847478
0.282754432	0.848302986
0.284329666	0.851577317
0.285904899	0.877150489
0.287480133	0.682785389
0.289055366	0.515021265
0.2906306	0.643441078
0.292205834	0.815970271
0.293781067	0.826652323
0.295356301	0.873937463
0.296931534	0.883743764
0.298506768	0.647773753
0.300082002	0.669796604
0.301657235	0.87637122
0.303232469	0.994966894
0.304807702	1.106120809
0.306382936	1.07759202
0.30795817	1.092304027
0.309533403	1.23485796
0.311108637	1.205991077
0.312683871	1.420477483
0.314259104	1.100879357
0.315834338	0.955332141
0.317409571	0.755442393
0.318984805	0.938168838
0.320560039	0.820621217
0.322135272	0.864824065
0.323710506	1.104495762
0.325285739	1.094686684
0.326860973	0.842591868
0.328436207	0.830637695
0.33001144	0.879928321
0.331586674	0.874910526
0.333161907	0.873149929
0.334737141	0.679605895
0.336312375	0.866997154
0.337887608	0.995631416
0.339462842	0.884791627
0.341038075	0.759584991
0.342613309	1.045282198
0.344188543	1.154455165
0.345763776	0.834761332
0.34733901	0.910573324
0.348914243	0.837817212
0.350489477	0.961121515
0.352064711	0.980134571
0.353639944	1.010193436
0.355215178	0.900365155
0.356790411	0.970626109
0.358365645	1.021071758
0.359940879	0.870844303
0.361516112	0.81091188
0.363091346	1.190361125
0.364666579	0.763802468
0.366241813	1.005972953
0.367817047	0.989867663
0.36939228	1.253326827
0.370967514	1.297222707
0.372542747	1.094956125
0.374117981	0.813821854
0.375693215	0.872084766
0.377268448	0.955408664
0.378843682	0.975097554
0.380418915	1.067041493
0.381994149	1.135078384
0.383569383	1.399991589
0.385144616	1.21626532
0.38671985	1.252209701
0.388295084	1.446259606
0.389870317	1.01411411
0.391445551	1.128284479
0.393020784	1.305001976
0.394596018	1.181104005
0.396171252	1.201495299
0.397746485	1.504561009
