x	zg sin panza centrado
0.000969094	-0.022408133
0.001615156	0.06920644
0.002261219	0.074404347
0.002907281	-0.251578448
0.003553344	-0.197297516
0.004199406	-0.175597172
0.004845469	-0.21167999
0.005491531	-0.274850013
0.006137594	-0.057513671
0.006783656	0.099972062
0.007429719	0.034041761
0.008075781	-0.558010555
0.008721844	-0.641624121
0.009367906	-0.216861931
0.010013969	-0.079391207
0.010660031	-0.068169564
0.011306094	0.127080052
0.011952156	0.283826919
0.012598219	0.350523951
0.013244281	0.206527089
0.013890344	0.130609769
0.014536406	0.094208346
0.015182469	0.105249688
0.015828531	0.081369526
0.016474594	0.263901351
0.017120656	0.342453547
0.017766719	0.242363721
0.018412781	-0.147135522
0.019058844	-0.148694985
0.019704906	-0.011283336
0.020350969	0.042527609
0.020997031	0.148307764
0.021643094	0.304095142
0.022289156	0.239086498
0.022935219	0.421809605
0.023581281	0.270371782
0.024227344	0.323954741
0.024873406	0.216001567
0.025519469	0.267316193
0.026165531	0.341071825
0.026811594	0.406823415
0.027457656	0.278206573
0.028103719	0.319013734
0.028749781	0.312281278
0.029395844	0.286294035
0.030041906	0.146088735
0.030687969	0.184148474
0.031334031	0.141950413
0.031980094	0.007694273
0.032626156	-0.062748502
0.033272219	0.025666914
0.033918281	0.556100406
0.034564344	0.557842357
0.035210406	0.417697886
0.035856469	0.316547263
0.036502531	0.323239325
0.037148594	0.295644656
0.037794656	0.327474103
0.038440719	0.33484218
0.039086781	0.392558763
0.039732844	0.296611641
0.040378906	0.224918849
0.041024969	0.295876176
0.041671031	0.279777454
0.042317094	0.282360795
0.042963156	0.268331782
0.043609219	0.222725205
0.044255281	0.260824367
0.044901344	0.265709633
0.045547406	0.246930276
0.046193469	0.248841694
0.046839531	0.12487009
0.047485594	0.268720775
0.048131656	0.083752924
0.048777719	-0.040362637
0.049423781	-0.366306082
0.050069844	-0.391728547
0.050715906	-0.367362702
0.051361969	-0.301153313
0.052008031	-0.540931107
0.052654094	-0.616817552
0.053300156	-0.684004066
0.053946219	-0.742828715
0.054592281	-0.700388763
0.055238344	-0.625100151
0.055884406	-0.386125358
0.056530469	-0.41135454
0.057176531	-0.46716565
0.057822594	-0.666619576
0.058468656	-0.683213891
0.059114719	-0.840922293
0.059760781	-0.904248267
0.060406844	-1.113219243
0.061052906	-0.970234174
0.061698969	-0.92362844
0.062345031	-0.957931226
0.062991094	-0.968718328
0.063637156	-0.989016871
0.064283219	-1.127016533
0.064929281	-1.138199171
0.065575344	-1.153417573
0.066221406	-1.277213601
0.066867469	-1.25469715
0.067513531	-1.232814228
0.068159594	-1.103337554
0.068805656	-1.424031902
0.069451719	-1.493123388
0.070097781	-1.443385554
0.070743844	-1.448704045
0.071389906	-1.584574813
0.072035969	-1.609177476
0.072682031	-1.736813308
