# Frequency (Hz)	Transfer Amplitude
0.000000000000000000e+00	3.677862071060195581e-01
2.666669722225722960e-02	6.710136283509485766e-01
5.333339444451445921e-02	1.986284726702662318e-01
8.000009166677168881e-02	3.074715278460416479e-01
1.066667888890289184e-01	1.236733507767606849e-01
1.333334861112861480e-01	2.443640168051546824e-01
1.600001833335433776e-01	6.590929124017154417e-02
1.866668805558006072e-01	2.138054213437034778e-01
2.133335777780578368e-01	3.573933175976340415e-02
2.400002750003150664e-01	8.002246158511658325e-02
2.666669722225722960e-01	4.868164055008399049e-02
2.933336694448295257e-01	9.833720366387596612e-02
3.200003666670867553e-01	5.000482796917663647e-02
3.466670638893439849e-01	6.091938017293904717e-02
3.733337611116012145e-01	8.803371980904373117e-02
4.000004583338584441e-01	5.077795334848524827e-02
4.266671555561156737e-01	3.984520964556199224e-02
4.533338527783729033e-01	4.123193198486729133e-02
4.800005500006301329e-01	7.371647078965239130e-02
5.066672472228873625e-01	3.830529987925389290e-02
5.333339444451445921e-01	1.641045195069212176e-02
5.600006416674018217e-01	2.982847797175119248e-02
5.866673388896590513e-01	4.148734579169191528e-02
6.133340361119162809e-01	2.361378464292144749e-02
6.400007333341735105e-01	2.969967622402733265e-01
6.666674305564307401e-01	2.266975764359987003e-02
6.933341277786879697e-01	1.218533932178855229e-02
7.200008250009451993e-01	1.540899676053255479e-02
7.466675222232024289e-01	2.531899096130468471e-02
7.733342194454596585e-01	3.402584110365248354e-02
8.000009166677168881e-01	1.642438308657628160e-02
8.266676138899741177e-01	2.471132050747442202e-02
8.533343111122313474e-01	1.272350374247139398e-02
8.800010083344885770e-01	3.733297965099777183e-02
9.066677055567458066e-01	1.807131073144913405e-02
9.333344027790030362e-01	1.326577060995381106e-02
9.600011000012602658e-01	1.011284782206001327e-02
9.866677972235174954e-01	8.087276117486337512e-03
1.013334494445774725e+00	9.895926935494823301e-03
1.040001191668031844e+00	4.302234339633902865e-03
1.066667888890289184e+00	8.053567929613288448e-03
1.093334586112546525e+00	2.553691499129066150e-02
1.120001283334803643e+00	1.327558965796146219e-02
1.146667980557060762e+00	3.264339865148381103e-03
1.173334677779318103e+00	5.576760798701126121e-03
1.200001375001575443e+00	1.057776023736377823e-02
1.226668072223832562e+00	2.619393928554582945e-02
1.253334769446089680e+00	1.010178860300120149e-02
1.280001466668347021e+00	9.042056152995961091e-03
