# Frequency (Hz)	Transfer Amplitude
0.000000000000000000e+00	6.477076668345229660e-01
2.666631250470371736e-02	5.737701271852431451e-02
5.333262500940743472e-02	1.894705783702941848e-01
7.999893751411114862e-02	5.460335784089694888e-01
1.066652500188148694e-01	8.685457455586315101e-01
1.333315625235185764e-01	3.379406036796963608e-01
1.599978750282222972e-01	5.019295142092280448e-01
1.866641875329260181e-01	7.484565247662783305e-02
2.133305000376297389e-01	1.011160347688619954e-01
2.399968125423334597e-01	1.307905135058386736e-01
2.666631250470371528e-01	8.110163038067191854e-02
2.933294375517409014e-01	6.715525427585794516e-02
3.199957500564445945e-01	4.909766167403728510e-02
3.466620625611483431e-01	1.351746982816632026e-01
3.733283750658520361e-01	1.442677969615447642e-01
3.999946875705557847e-01	9.816272130852118916e-02
4.266610000752594778e-01	7.712186957994357495e-02
4.533273125799631709e-01	1.295257218756081519e-01
4.799936250846669195e-01	3.165471598200221559e-02
5.066599375893706680e-01	4.410289287455387147e-02
5.333262500940743056e-01	1.360710358755527760e-01
5.599925625987780542e-01	6.345207840721656112e-02
5.866588751034818028e-01	4.617995874180627625e-02
6.133251876081855514e-01	8.083684637022268971e-02
6.399915001128891889e-01	9.075118682179279805e-02
6.666578126175929375e-01	4.213257013399068773e-02
6.933241251222966861e-01	1.866462130470245562e-01
7.199904376270003237e-01	4.306288622322326787e-02
7.466567501317040723e-01	6.379820320592605176e-02
7.733230626364078208e-01	7.883741478878038278e-02
7.999893751411115694e-01	7.927106567084704625e-02
8.266556876458152070e-01	1.351680337154324008e-01
8.533220001505189556e-01	3.871468744584962568e-02
8.799883126552227042e-01	5.799123428947323272e-02
9.066546251599263417e-01	5.515619923441934108e-02
9.333209376646300903e-01	9.103245617484562180e-02
9.599872501693338389e-01	6.606616767926304368e-02
9.866535626740375875e-01	1.676617056078908707e-01
1.013319875178741336e+00	9.196372527732309121e-02
1.039986187683445085e+00	6.175085600197235958e-02
1.066652500188148611e+00	4.839873033112358086e-02
1.093318812692852360e+00	1.035647557328352591e-01
1.119985125197556108e+00	1.366633244960787086e-01
