# Frequency (Hz)	PSD (Amplitude^2/Hz)
3.754512635379061294e+02	8.852800758628450601e-15
3.826714801444043133e+02	7.831160694419519765e-15
3.898916967509024971e+02	7.284721709720516303e-15
3.971119133574006810e+02	6.951528743422061848e-15
4.043321299638988648e+02	6.419453585436580829e-15
4.115523465703971056e+02	9.757776640184368214e-15
4.187725631768952894e+02	9.746736449046959922e-15
4.259927797833934733e+02	6.005528656164758482e-15
4.332129963898916571e+02	8.614035683893509609e-15
4.404332129963898410e+02	7.249401339094119051e-15
4.476534296028880817e+02	3.986893775850196118e-15
4.548736462093862656e+02	3.635284477232017403e-15
4.620938628158844494e+02	3.303062082790160883e-15
4.693140794223826333e+02	2.523743350157440517e-15
4.765342960288808172e+02	2.360944053558768601e-15
4.837545126353790579e+02	2.327128718063080478e-15
4.909747292418772417e+02	2.013402045494243411e-15
4.981949458483754256e+02	2.716189446052424626e-15
5.054151624548736095e+02	3.335238711552164662e-15
5.126353790613718502e+02	1.780913498844262511e-15
5.198555956678700340e+02	1.152952281117092826e-15
5.270758122743682179e+02	1.081082823884253172e-15
5.342960288808664018e+02	1.012208800837058880e-15
5.415162454873645856e+02	8.859826717438332022e-16
5.487364620938627695e+02	8.524539469542933959e-16
5.559566787003609534e+02	7.357051300858163981e-16
5.631768953068591372e+02	6.635776878290325516e-16
5.703971119133573211e+02	6.255930946848902114e-16
5.776173285198556187e+02	5.742045941204491830e-16
5.848375451263538025e+02	5.555088057657932775e-16
5.920577617328519864e+02	5.265691497456057198e-16
5.992779783393501702e+02	5.150824324133150686e-16
6.064981949458483541e+02	4.811895577240418379e-16
6.137184115523465380e+02	4.166021343484586914e-16
6.209386281588447218e+02	3.744130778847378586e-16
6.281588447653429057e+02	3.857627378732002641e-16
6.353790613718410896e+02	3.647137911978714519e-16
6.425992779783392734e+02	3.138697947606200574e-16
6.498194945848374573e+02	2.735118090092476496e-16
6.570397111913357548e+02	2.463242836810820988e-16
6.642599277978339387e+02	2.480822287337249842e-16
6.714801444043321226e+02	2.899007836842687509e-16
6.787003610108303064e+02	2.934442552244067831e-16
6.859205776173284903e+02	2.479809474042489660e-16
6.931407942238266742e+02	2.029252052199576193e-16
7.003610108303248580e+02	1.822090694294614300e-16
7.075812274368230419e+02	1.687337583084832004e-16
7.148014440433212258e+02	2.284209907505617490e-16
7.220216606498194096e+02	2.839694251729469682e-16
7.292418772563175935e+02	1.601584513824883568e-16
7.364620938628158910e+02	1.081718522305401793e-16
7.436823104693140749e+02	7.885076933579763016e-17
7.509025270758122588e+02	6.930821573131223218e-17
7.581227436823104426e+02	6.268458229514974960e-17
7.653429602888086265e+02	6.450916467481594452e-17
7.725631768953068104e+02	5.442144485621674209e-17
7.797833935018049942e+02	4.332688278132837721e-17
7.870036101083031781e+02	3.821401695664664170e-17
7.942238267148013620e+02	3.565958103624928581e-17
8.014440433212995458e+02	2.917450118386701509e-17
8.086642599277977297e+02	2.589153821228241223e-17
8.158844765342960272e+02	2.208981305219207512e-17
8.231046931407942111e+02	1.879676671950938169e-17
8.303249097472923950e+02	1.630887863340999620e-17
8.375451263537905788e+02	1.374441996997149204e-17
8.447653429602887627e+02	1.144892886928717983e-17
8.519855595667869466e+02	9.266292397888141474e-18
8.592057761732851304e+02	7.579572335808483025e-18
8.664259927797833143e+02	5.834736569992531363e-18
8.736462093862814982e+02	4.496269079544754155e-18
8.808664259927796820e+02	3.240768970941830001e-18
8.880866425992779796e+02	2.243779257259182476e-18
8.953068592057761634e+02	1.424293616415416521e-18
9.025270758122743473e+02	8.009975280220662205e-19
9.097472924187725312e+02	3.545337461902210171e-19
9.169675090252707150e+02	8.884259053491228380e-20
9.241877256317688989e+02	1.066007577359931897e-22
