# Frequency (Hz)	PSD (Amplitude^2/Hz)
0.000000000000000000e+00	3.568891165614426445e-07
7.220216606498194523e+00	9.809657694494216965e-05
1.444043321299638905e+01	5.045946925049949651e-06
2.166064981949458357e+01	3.068244523185271040e-07
2.888086642599277809e+01	4.873282044361809994e-08
3.610108303249097617e+01	1.206980756061633765e-08
4.332129963898916714e+01	3.953293539668605137e-09
5.054151624548735811e+01	1.592840682915805644e-09
5.776173285198555618e+01	6.778570630194168661e-10
6.498194945848375426e+01	3.475061575068753885e-10
7.220216606498195233e+01	1.795527762717823810e-10
7.942238267148013620e+01	9.984346079019097767e-11
8.664259927797833427e+01	5.893219005840399949e-11
9.386281588447653235e+01	3.665900342920982098e-11
1.010830324909747162e+02	2.511536823783708098e-11
1.083032490974729143e+02	1.884763894881564584e-11
1.155234657039711124e+02	1.133593917897815288e-11
1.227436823104693104e+02	8.019179041699704230e-12
1.299638989169675085e+02	5.458385522137833882e-12
1.371841155234656924e+02	4.157928962073470902e-12
1.444043321299639047e+02	2.893104537744548653e-12
1.516245487364620885e+02	2.060955774785145207e-12
1.588447653429602724e+02	1.542198747356697215e-12
1.660649819494584847e+02	1.205285979689368183e-12
1.732851985559566685e+02	9.407518736838593938e-13
1.805054151624548524e+02	7.462320532667678879e-13
1.877256317689530647e+02	6.203777053123944276e-13
1.949458483754512486e+02	5.777799841271051976e-13
2.021660649819494324e+02	3.909954175300984592e-13
2.093862815884476447e+02	3.130836742204278785e-13
2.166064981949458286e+02	2.625875912526696546e-13
2.238267148014440409e+02	2.200779906094271370e-13
2.310469314079422247e+02	1.797453618906957167e-13
2.382671480144404086e+02	1.565452485224218563e-13
2.454873646209386209e+02	1.256389444203556492e-13
2.527075812274368047e+02	1.430529147950214664e-13
2.599277978339350170e+02	1.303016031336494260e-13
2.671480144404332009e+02	1.734369880701806539e-13
2.743682310469313848e+02	1.765152980159171077e-13
2.815884476534295686e+02	6.881357352827776305e-14
2.888086642599278093e+02	4.797372904716441623e-14
2.960288808664259932e+02	4.023074939749924162e-14
3.032490974729241771e+02	4.016981986070099920e-14
3.104693140794223609e+02	3.913620869438165888e-14
3.176895306859205448e+02	2.805462003205866574e-14
3.249097472924187286e+02	2.254509421575914265e-14
3.321299638989169694e+02	1.974477834045016273e-14
3.393501805054151532e+02	1.999040442696835071e-14
3.465703971119133371e+02	1.932283221035974232e-14
3.537906137184115209e+02	1.889817770100096999e-14
3.610108303249097048e+02	1.326910407398494689e-14
3.682310469314079455e+02	1.013250946555726904e-14
