# Frequency (Hz)	PSD (Amplitude^2/Hz)
0.000000000000000000e+00	1.418275358588407637e-08
1.444043321299638905e+01	7.373799187274362589e-07
2.888086642599277809e+01	4.838914930584529529e-08
4.332129963898916714e+01	2.329658972825051500e-09
5.776173285198555618e+01	3.706650736408379820e-10
7.220216606498195233e+01	9.593094994635399391e-11
8.664259927797833427e+01	3.144633004436719547e-11
1.010830324909747162e+02	1.223854670716561756e-11
1.155234657039711124e+02	5.380521941811916117e-12
1.299638989169675085e+02	2.763393861754241960e-12
1.444043321299639047e+02	1.475703024542769244e-12
1.588447653429602724e+02	8.417915387601306708e-13
1.732851985559566685e+02	5.136399565064305292e-13
1.877256317689530647e+02	2.874419931000182716e-13
2.021660649819494324e+02	2.135380955662493942e-13
2.166064981949458286e+02	1.747417721482064458e-13
2.310469314079422247e+02	1.220805218433072485e-13
2.454873646209386209e+02	1.832991843612153513e-13
2.599277978339350170e+02	2.649434572523843789e-13
2.743682310469313848e+02	7.326468350029605724e-14
2.888086642599278093e+02	2.845650998068895937e-14
3.032490974729241771e+02	1.693685931914153532e-14
3.176895306859205448e+02	1.374449618553364931e-14
3.321299638989169694e+02	1.051903621570455665e-14
3.465703971119133371e+02	8.965091591713127033e-15
3.610108303249097048e+02	7.395076564608142103e-15
3.754512635379061294e+02	6.365231965172862237e-15
3.898916967509024971e+02	7.725013680254894173e-15
4.043321299638988648e+02	6.997490373703070830e-15
4.187725631768952894e+02	4.782547737886729981e-15
4.332129963898916571e+02	3.359864893366603184e-15
4.476534296028880817e+02	3.300758329093650018e-15
4.620938628158844494e+02	2.235166753884383228e-15
4.765342960288808172e+02	2.075033265381867369e-15
4.909747292418772417e+02	1.603699881162347524e-15
5.054151624548736095e+02	1.830610097447986419e-15
5.198555956678700340e+02	1.913404577019585932e-15
5.342960288808664018e+02	1.636231866008403483e-15
5.487364620938627695e+02	1.551058757805219781e-15
5.631768953068591372e+02	1.201324369091608294e-15
5.776173285198556187e+02	1.010862206973657823e-15
5.920577617328519864e+02	8.683615630016708549e-16
6.064981949458483541e+02	6.600816624375141953e-16
6.209386281588447218e+02	5.171665863246790989e-16
6.353790613718410896e+02	3.533767478125142282e-16
6.498194945848374573e+02	2.953817544003372353e-16
6.642599277978339387e+02	2.469515746631698158e-16
6.787003610108303064e+02	2.218518978912052928e-16
6.931407942238266742e+02	2.136961070187564769e-16
7.075812274368230419e+02	2.039329220848514804e-16
7.220216606498194096e+02	2.195891074855843287e-16
7.364620938628158910e+02	1.197766224881686025e-16
7.509025270758122588e+02	7.918990014575264439e-17
7.653429602888086265e+02	8.533427282181637875e-17
7.797833935018049942e+02	7.274384374135076669e-17
7.942238267148013620e+02	6.043020055896121553e-17
8.086642599277977297e+02	5.874977076907821888e-17
8.231046931407942111e+02	7.058556773511508810e-17
8.375451263537905788e+02	8.008899254615652987e-17
8.519855595667869466e+02	6.118763479694678012e-17
8.664259927797833143e+02	6.270720844544599580e-17
8.808664259927796820e+02	5.611584607853065074e-17
8.953068592057761634e+02	3.918117642715851828e-17
9.097472924187725312e+02	4.966737036929976050e-17
9.241877256317688989e+02	4.405861500442274663e-17
9.386281588447652666e+02	2.591613030900637952e-17
9.530685920577616344e+02	2.124334129239438685e-17
9.675090252707581158e+02	2.034027244033084603e-17
9.819494584837544835e+02	1.940567961635533328e-17
9.963898916967508512e+02	2.025545664531307084e-17
