# Frequency (Hz)	PSD (Amplitude^2/Hz)
0.000000000000000000e+00	2.061560391842380071e-06
3.610108303249097261e+00	7.661666062674413159e-05
7.220216606498194523e+00	5.701388375896842749e-06
1.083032490974729178e+01	2.934356761062361929e-07
1.444043321299638905e+01	4.263594917047864105e-08
1.805054151624548808e+01	1.093104237518264671e-08
2.166064981949458357e+01	3.500616389746564787e-09
2.527075812274367905e+01	1.646086402624009367e-09
2.888086642599277809e+01	6.528865125086392101e-10
3.249097472924187713e+01	2.994072129841746554e-10
3.610108303249097617e+01	1.652396195331238850e-10
3.971119133574006810e+01	8.490866465165902429e-11
4.332129963898916714e+01	4.857471496528030991e-11
4.693140794223826617e+01	3.281557534922653074e-11
5.054151624548735811e+01	2.483390948942372813e-11
5.415162454873645714e+01	2.086886611946149780e-11
5.776173285198555618e+01	1.342426317251027058e-11
6.137184115523465522e+01	7.193897382165244425e-12
6.498194945848375426e+01	7.413284526814252935e-12
6.859205776173284619e+01	3.730850768814778421e-12
7.220216606498195233e+01	2.710238499448914256e-12
7.581227436823104426e+01	1.927273022292701525e-12
7.942238267148013620e+01	1.616342238613683217e-12
8.303249097472924234e+01	1.193396369524402075e-12
8.664259927797833427e+01	1.009943876072698412e-12
9.025270758122742620e+01	8.102465829002895935e-13
9.386281588447653235e+01	7.208704314031074595e-13
9.747292418772562428e+01	6.551635316751751021e-13
1.010830324909747162e+02	4.182549581230384092e-13
1.046931407942238224e+02	3.829654848547260835e-13
1.083032490974729143e+02	3.563894343655670267e-13
1.119133574007220204e+02	3.733765181919732052e-13
1.155234657039711124e+02	2.922567138783087083e-13
1.191335740072202043e+02	3.303047610437164106e-13
1.227436823104693104e+02	2.763284266923280725e-13
1.263537906137184024e+02	4.415258507518793233e-13
1.299638989169675085e+02	4.990479810274526955e-13
1.335740072202166004e+02	3.757830581082124124e-13
1.371841155234656924e+02	2.989536245648458725e-13
1.407942238267147843e+02	1.854909467950314071e-13
1.444043321299639047e+02	1.249164823743992438e-13
1.480144404332129966e+02	1.263059478624930790e-13
1.516245487364620885e+02	1.095520201465445068e-13
1.552346570397111805e+02	1.188832864553513111e-13
1.588447653429602724e+02	6.971190862593947955e-14
1.624548736462093643e+02	3.015618717500427914e-14
1.660649819494584847e+02	2.813580921418245146e-14
1.696750902527075766e+02	3.346050599336791443e-14
1.732851985559566685e+02	4.636053495902669935e-14
1.768953068592057605e+02	4.355577917488002024e-14
1.805054151624548524e+02	2.490216006804180183e-14
1.841155234657039728e+02	1.136354458437204307e-14
