# Frequency (Hz)	Amplitude
0.000000000000000000e+00	1.248893564245716092e+01
5.128250842780950058e-02	1.948663604140812744e+00
1.025650168556190012e-01	2.838878004430135160e+00
1.538475252834284879e-01	8.731478004126975279e+00
2.051300337112380023e-01	1.151290521980473081e+01
2.564125421390475168e-01	4.068796302064607850e+00
3.076950505668569757e-01	2.548209459146484335e+00
3.589775589946664902e-01	1.693270603626028992e+00
4.102600674224760047e-01	1.432925245145285631e+00
4.615425758502855191e-01	1.062772496969379921e+00
5.128250842780950336e-01	9.282740520970947928e-01
5.641075927059044925e-01	7.934356101853972110e-01
6.153901011337139515e-01	7.658737472667770385e-01
6.666726095615235215e-01	6.132940008595988424e-01
7.179551179893329804e-01	6.044792738172360957e-01
7.692376264171425504e-01	5.499836765829256846e-01
8.205201348449520093e-01	4.971240960954956822e-01
8.718026432727614683e-01	4.867958810648656542e-01
9.230851517005710383e-01	4.332423184936716742e-01
9.743676601283804972e-01	4.606830446558681236e-01
1.025650168556190067e+00	3.656876885081934425e-01
1.076932676983999526e+00	3.676659141815021292e-01
1.128215185411808985e+00	4.035699908634339250e-01
1.179497693839618444e+00	3.586263249138424980e-01
1.230780202267427903e+00	3.357268686762309717e-01
1.282062710695237584e+00	3.334488217125575193e-01
1.333345219123047043e+00	2.845320817364982990e-01
1.384627727550856502e+00	2.797908147926569944e-01
1.435910235978665961e+00	2.787709434114538087e-01
1.487192744406475420e+00	2.869295389674195174e-01
1.538475252834285101e+00	2.291857022526144760e-01
1.589757761262094560e+00	2.089122283817279879e-01
1.641040269689904019e+00	2.481690511948024258e-01
1.692322778117713478e+00	1.996459948398827955e-01
1.743605286545522937e+00	2.235626713303232593e-01
1.794887794973332618e+00	2.296960742733059613e-01
1.846170303401142077e+00	2.061115893565978463e-01
1.897452811828951535e+00	2.389817117712865480e-01
1.948735320256760994e+00	1.046329536546196787e-01
2.000017828684570453e+00	2.256922915954053532e-01
2.051300337112380134e+00	2.008224493478728556e-01
2.102582845540189371e+00	1.648104122077214129e-01
2.153865353967999052e+00	1.492765203978113631e-01
2.205147862395808733e+00	2.088943072766837328e-01
2.256430370823617970e+00	1.819585381846246519e-01
2.307712879251427651e+00	1.620692666215540201e-01
2.358995387679236888e+00	1.594942949985352909e-01
2.410277896107046569e+00	1.652833361573994297e-01
2.461560404534855806e+00	1.581333399010764751e-01
2.512842912962665487e+00	1.529521217960683743e-01
2.564125421390475168e+00	1.462594705166826159e-01
2.615407929818284405e+00	1.460784474686915302e-01
2.666690438246094086e+00	1.452933276619640390e-01
2.717972946673903323e+00	1.329883832766871055e-01
2.769255455101713004e+00	1.325764693080910828e-01
2.820537963529522685e+00	1.184803497177660397e-01
2.871820471957331922e+00	1.217144672014481566e-01
2.923102980385141603e+00	1.140866232608415548e-01
2.974385488812950840e+00	1.423155762676198699e-01
3.025667997240760521e+00	1.340419625445651575e-01
3.076950505668570202e+00	1.208000832679781283e-01
3.128233014096379438e+00	1.140477884457474222e-01
3.179515522524189119e+00	1.215859494347990982e-01
3.230798030951998356e+00	1.166699588259486470e-01
3.282080539379808037e+00	1.158729781892536559e-01
3.333363047807617718e+00	1.129536229456751667e-01
3.384645556235426955e+00	1.150083851067652679e-01
3.435928064663236636e+00	1.094430908523427309e-01
3.487210573091045873e+00	1.114464827982339229e-01
3.538493081518855554e+00	1.027963807699878024e-01
3.589775589946665235e+00	1.042597651127403630e-01
3.641058098374474472e+00	1.058051321852401250e-01
3.692340606802284153e+00	9.512065425165641686e-02
3.743623115230093390e+00	9.957864936637104980e-02
3.794905623657903071e+00	9.901793994287443057e-02
3.846188132085712752e+00	1.005348461206956867e-01
3.897470640513521989e+00	1.025321585364813159e-01
3.948753148941331670e+00	9.455199349703469203e-02
4.000035657369140907e+00	8.624928335348160113e-02
4.051318165796950588e+00	6.626116828877003095e-02
4.102600674224760269e+00	1.244514738705237156e-01
4.153883182652569950e+00	9.859387773442974956e-02
4.205165691080378743e+00	9.575266996403876407e-02
4.256448199508188424e+00	8.891528490647053473e-02
4.307730707935998105e+00	8.833682487156184482e-02
4.359013216363807786e+00	9.248146144221837395e-02
4.410295724791617467e+00	8.118901373417503065e-02
4.461578233219426259e+00	9.050346608163274686e-02
4.512860741647235940e+00	8.567470249972712615e-02
4.564143250075045621e+00	8.471203422778861292e-02
4.615425758502855302e+00	8.270671602928024446e-02
4.666708266930664983e+00	8.170678562730433747e-02
4.717990775358473776e+00	8.081223685487730346e-02
4.769273283786283457e+00	7.839415689052942060e-02
4.820555792214093138e+00	7.965092100357057392e-02
4.871838300641902819e+00	7.940652273431736408e-02
4.923120809069711612e+00	7.873477673251236264e-02
4.974403317497521293e+00	7.675628441789100753e-02
5.025685825925330974e+00	7.661214076159994502e-02
5.076968334353140655e+00	7.496917522883897456e-02
5.128250842780950336e+00	7.547528935142623630e-02
5.179533351208759129e+00	7.451788081088686622e-02
5.230815859636568810e+00	7.299454572659788698e-02
5.282098368064378491e+00	7.176011309283439332e-02
5.333380876492188172e+00	7.028263974219757515e-02
5.384663384919997853e+00	7.092856743076625392e-02
5.435945893347806646e+00	6.958388560783648757e-02
5.487228401775616327e+00	6.961271498867456498e-02
5.538510910203426008e+00	6.789104437744877818e-02
5.589793418631235689e+00	6.775667707124675976e-02
5.641075927059045370e+00	6.805983167123835775e-02
5.692358435486854162e+00	6.694237959139534566e-02
5.743640943914663843e+00	6.698876477359733128e-02
5.794923452342473524e+00	6.739949275986791000e-02
5.846205960770283205e+00	6.499522818822532633e-02
5.897488469198092886e+00	6.606404589468772848e-02
5.948770977625901679e+00	6.340756411395820358e-02
6.000053486053711360e+00	6.378567036638101151e-02
6.051335994481521041e+00	6.169450670363847700e-02
6.102618502909330722e+00	6.265049631555102971e-02
6.153901011337140403e+00	6.489377463091818010e-02
6.205183519764949196e+00	6.140986807301884731e-02
6.256466028192758877e+00	6.164855768383754875e-02
6.307748536620568558e+00	5.791885565822928184e-02
