# Frequency (Hz)	Amplitude
0.000000000000000000e+00	7.124227994660918828e-01
5.128179703035325859e-02	1.495313464666110093e-01
1.025635940607065172e-01	1.135392366138854442e-01
1.538453910910597688e-01	1.143992358523337888e-01
2.051271881214130344e-01	1.309365297183003596e-01
2.564089851517662999e-01	1.734385551810315174e-01
3.076907821821195377e-01	3.212736932548772573e-01
3.589725792124728310e-01	1.517577379475666843e+00
4.102543762428260687e-01	4.697573991795644388e-01
4.615361732731793065e-01	3.560256202541931536e-01
5.128179703035325998e-01	6.244544571092316976e-02
5.640997673338858931e-01	2.037636148873164799e-01
6.153815643642390754e-01	1.087260589333425703e-01
6.666633613945923686e-01	2.029832230631765932e-02
7.179451584249456619e-01	4.903426162342865852e-02
7.692269554552988442e-01	3.390078396850609854e-02
8.205087524856521375e-01	5.313077072663663358e-02
8.717905495160054308e-01	5.839051158871153696e-03
9.230723465463586130e-01	3.714187970409108669e-02
9.743541435767119063e-01	3.160942549491923409e-02
1.025635940607065200e+00	5.597384607358234926e-02
1.076917737637418382e+00	3.234124224046457802e-02
1.128199534667771786e+00	3.981160362980613182e-02
1.179481331698124968e+00	3.533020843547503981e-02
1.230763128728478151e+00	3.036256592093191167e-02
1.282044925758831555e+00	1.202603059939146533e-02
1.333326722789184737e+00	1.290721068280607439e-02
1.384608519819537920e+00	2.643848165356602053e-02
1.435890316849891324e+00	2.684960915591596761e-02
1.487172113880244506e+00	7.000918009660415768e-03
1.538453910910597688e+00	2.445596686573632550e-02
1.589735707940951093e+00	7.087427533075858072e-03
1.641017504971304275e+00	1.525868971365802046e-02
1.692299302001657457e+00	1.907595345695289185e-02
1.743581099032010862e+00	2.984039122738045210e-02
1.794862896062364044e+00	5.483469939959745819e-03
1.846144693092717226e+00	2.811205573549768050e-02
1.897426490123070630e+00	2.728137166871027683e-02
1.948708287153423813e+00	7.735565639217902099e-05
1.999990084183776995e+00	4.556834264303145227e-02
2.051271881214130399e+00	2.314614649323072648e-02
2.102553678244483581e+00	2.323006753051704010e-02
2.153835475274836764e+00	1.088539701992486536e-02
